68, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
50, Private, Masters, Divorced, Sales, Husband, White, Male,99999,0,60, India, >50K
48, Private, Assoc-voc, Never-married, Adm-clerical, Unmarried, Other, Female,0,0,9, England, <=50K
61, Private, HS-grad, Divorced, Other-service, Not-in-family, Other, Male,0,0,40, El-Salvador, <=50K
37, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, >50K
26, Private, 7th-8th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
22, Private, Prof-school, Never-married, Machine-op-inspct, Own-child, Other, Female,0,0,20, Ecuador, <=50K
36, Self-emp-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,60, Yugoslavia, >50K
26, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,35, Dominican-Republic, <=50K
37, Local-gov, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,35, Scotland, <=50K
40, Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,50, Scotland, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Other-relative, Amer-Indian-Eskimo, Female,0,0,45, Iran, <=50K
31, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,48, Mexico, >50K
41, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Other, Female,0,0,40, Canada, >50K
23, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Cuba, <=50K
51, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Philippines, >50K
35, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,40, Vietnam, <=50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Columbia, >50K
44, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,60, Yugoslavia, <=50K
36, Private, Assoc-voc, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
41, Private, Bachelors, Separated, Craft-repair, Not-in-family, Black, Male,0,0,40, Yugoslavia, <=50K
59, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, >50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, Jamaica, >50K
32, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, Trinadad&Tobago, <=50K
39, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,30, China, <=50K
54, Private, Bachelors, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
23, Private, Bachelors, Never-married, Other-service, Own-child, Black, Female,0,0,29, Dominican-Republic, <=50K
27, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,65, Germany, >50K
30, Private, HS-grad, Separated, Adm-clerical, Not-in-family, Black, Female,0,0,40, Canada, <=50K
47, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,7548,0,50, Canada, >50K
27, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,80, Yugoslavia, <=50K
45, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,2389,40, Thailand, >50K
