63, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
48, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,99999,0,60, United-States, >50K
41, Private, Assoc-acdm, Married-civ-spouse, Farming-fishing, Unmarried, White, Female,0,0,10, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, 11th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
34, Private, Bachelors, Divorced, Craft-repair, Unmarried, White, Male,0,0,60, United-States, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,38, United-States, <=50K
33, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Other-relative, Asian-Pac-Islander, Female,0,0,45, United-States, <=50K
29, Self-emp-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,50, United-States, >50K
37, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, Germany, <=50K
22, Private, Some-college, Never-married, Sales, Own-child, Other, Male,0,0,40, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
33, Private, Bachelors, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
41, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
33, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
38, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
54, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
47, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, >50K
30, Private, Some-college, Divorced, Prof-specialty, Other-relative, White, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,35, Mexico, <=50K
49, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
21, Private, Bachelors, Married-civ-spouse, Protective-serv, Own-child, White, Female,0,0,30, United-States, <=50K
26, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,70, United-States, <=50K
28, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, Germany, <=50K
42, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,52, Honduras, >50K
26, Self-emp-not-inc, Some-college, Never-married, Farming-fishing, Other-relative, White, Male,0,0,81, United-States, <=50K
43, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,1998,40, United-States, >50K
17, Private, 12th, Never-married, Sales, Own-child, Other, Female,0,0,10, United-States, <=50K
41, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,72, United-States, <=50K
49, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,40, United-States, >50K
49, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Farming-fishing, Unmarried, White, Female,0,0,40, United-States, <=50K
34, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
26, Local-gov, Bachelors, Never-married, Adm-clerical, Other-relative, White, Male,7298,0,45, United-States, >50K
27, Private, Bachelors, Never-married, Priv-house-serv, Own-child, White, Female,0,0,40, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
26, Private, Assoc-acdm, Never-married, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, >50K
23, Local-gov, 11th, Married-civ-spouse, Other-service, Unmarried, Other, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Federal-gov, HS-grad, Separated, Other-service, Husband, Black, Male,0,0,35, United-States, <=50K
45, Private, Assoc-voc, Widowed, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, Prof-school, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, Vietnam, <=50K
40, Private, Assoc-voc, Divorced, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
48, Self-emp-inc, Assoc-voc, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Private, Some-college, Divorced, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
51, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,52, United-States, >50K
22, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,38, United-States, <=50K
36, Private, HS-grad, Divorced, Craft-repair, Husband, Black, Female,0,0,40, United-States, >50K
36, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
23, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
34, Private, 11th, Married-civ-spouse, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Iran, >50K
28, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,0,0,48, Yugoslavia, >50K
