66, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Portugal, <=50K
49, Private, Masters, Divorced, Sales, Husband, White, Male,99999,0,60, United-States, >50K
46, Private, Bachelors, Never-married, Exec-managerial, Wife, White, Female,0,0,9, United-States, <=50K
61, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
26, Private, 12th, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
36, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Other-relative, White, Male,0,0,60, Vietnam, >50K
26, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,35, Poland, <=50K
37, Local-gov, HS-grad, Separated, Adm-clerical, Unmarried, Other, Female,0,0,35, United-States, <=50K
39, Private, Assoc-acdm, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,50, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,45, United-States, <=50K
31, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
40, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Ecuador, >50K
23, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,40, Puerto-Rico, <=50K
51, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Jamaica, >50K
43, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
36, Private, Assoc-voc, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Separated, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
58, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Taiwan, >50K
