67, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Honduras, <=50K
48, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,99999,0,60, United-States, >50K
47, Private, Bachelors, Married-spouse-absent, Craft-repair, Unmarried, White, Female,0,0,9, Mexico, <=50K
60, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,40, Jamaica, <=50K
36, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
26, Private, 9th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
22, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,20, Iran, <=50K
36, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Other-relative, White, Male,0,0,60, Yugoslavia, >50K
26, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,35, India, <=50K
37, Local-gov, Masters, Never-married, Adm-clerical, Unmarried, Other, Female,0,0,35, United-States, <=50K
39, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Other-relative, Amer-Indian-Eskimo, Female,0,0,45, United-States, <=50K
30, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,48, United-States, >50K
40, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, China, >50K
23, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, Honduras, <=50K
50, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, France, >50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,60, Vietnam, >50K
36, Private, Assoc-voc, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
58, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Iran, >50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
32, Private, Some-college, Divorced, Protective-serv, Other-relative, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,30, El-Salvador, <=50K
53, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, Laos, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,30, India, <=50K
27, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,65, Portugal, >50K
30, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, Columbia, <=50K
46, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,50, Columbia, >50K
27, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,80, Yugoslavia, <=50K
43, Private, Masters, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,2359,40, United-States, >50K
17, Private, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,8, United-States, <=50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, Mexico, <=50K
53, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Thailand, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2012,40, United-States, >50K
