66, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, >50K
48, Private, Masters, Divorced, Sales, Husband, Other, Male,99999,0,60, Iran, >50K
46, Private, 9th, Married-civ-spouse, Farming-fishing, Unmarried, White, Female,0,0,8, England, <=50K
61, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, El-Salvador, <=50K
36, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, <=50K
25, Private, 12th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, Other, Female,0,0,20, Ecuador, <=50K
35, Private, Bachelors, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,60, Yugoslavia, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,35, Dominican-Republic, <=50K
36, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,35, Scotland, <=50K
38, Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,50, Scotland, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Other-relative, Amer-Indian-Eskimo, Female,0,0,43, Iran, <=50K
30, Self-emp-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Female,0,0,45, Mexico, >50K
39, Private, Some-college, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,40, Canada, <=50K
23, Private, Masters, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
50, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Philippines, <=50K
34, Private, HS-grad, Divorced, Transport-moving, Unmarried, Black, Female,0,0,40, Vietnam, <=50K
40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Columbia, >50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,60, Yugoslavia, >50K
35, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Jamaica, >50K
40, Private, Bachelors, Separated, Craft-repair, Husband, Black, Male,0,0,40, Yugoslavia, <=50K
58, Federal-gov, Doctorate, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, >50K
49, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Italy, >50K
31, Private, Some-college, Divorced, Prof-specialty, Other-relative, White, Female,0,0,40, Trinadad&Tobago, <=50K
38, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,30, China, <=50K
53, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, El-Salvador, <=50K
23, Private, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, Black, Male,0,0,25, Dominican-Republic, <=50K
26, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,60, Germany, <=50K
29, Private, HS-grad, Separated, Adm-clerical, Not-in-family, Black, Female,0,0,40, Cambodia, <=50K
44, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,7120,0,50, Canada, >50K
26, Self-emp-not-inc, Some-college, Never-married, Farming-fishing, Other-relative, Asian-Pac-Islander, Female,0,0,75, Yugoslavia, <=50K
44, Private, Masters, Married-civ-spouse, Exec-managerial, Other-relative, Black, Male,0,1977,40, Thailand, <=50K
17, Private, Assoc-acdm, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,10, Puerto-Rico, <=50K
41, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,70, El-Salvador, <=50K
53, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Guatemala, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,1902,40, Guatemala, >50K
52, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
25, Private, Bachelors, Never-married, Farming-fishing, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
36, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Nicaragua, >50K
28, Local-gov, Assoc-voc, Never-married, Adm-clerical, Other-relative, Black, Male,7298,0,40, Japan, >50K
28, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Jamaica, <=50K
