47, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
48, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,60, United-States, >50K
66, Private, 9th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,30, United-States, <=50K
23, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,0,35, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
30, Private, 9th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, Vietnam, <=50K
56, Private, HS-grad, Widowed, Exec-managerial, Unmarried, White, Female,0,0,35, United-States, <=50K
38, Local-gov, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
23, Private, Assoc-acdm, Never-married, Prof-specialty, Husband, White, Male,15024,0,54, United-States, >50K
56, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,38, United-States, <=50K
19, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Hong, >50K
57, Self-emp-not-inc, HS-grad, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,30, United-States, <=50K
18, Private, Some-college, Never-married, Exec-managerial, Other-relative, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
54, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
56, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,65, United-States, <=50K
45, Private, Bachelors, Never-married, Handlers-cleaners, Husband, White, Male,0,0,2, United-States, <=50K
31, Federal-gov, Bachelors, Never-married, Adm-clerical, Unmarried, Other, Male,0,0,40, United-States, <=50K
60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico, <=50K
29, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
64, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,14009,0,50, United-States, >50K
44, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Female,0,0,45, England, <=50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Germany, >50K
55, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
21, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,48, United-States, <=50K
22, Private, Some-college, Never-married, Tech-support, Own-child, Black, Female,0,0,48, United-States, <=50K
21, Self-emp-inc, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,96, United-States, <=50K
33, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, <=50K
46, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,60, United-States, <=50K
26, Private, Bachelors, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,32, United-States, >50K
31, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
21, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,50, United-States, <=50K
36, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
40, Private, Assoc-voc, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,54, United-States, <=50K
45, Private, Assoc-voc, Divorced, Other-service, Unmarried, White, Male,0,0,37, United-States, <=50K
