47, Private, Masters, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,40, Dominican-Republic, <=50K
49, Private, HS-grad, Divorced, Transport-moving, Husband, White, Male,0,0,60, Ireland, >50K
66, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,30, England, <=50K
23, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,35, El-Salvador, <=50K
37, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
30, Private, 9th, Never-married, Sales, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
26, Private, Masters, Never-married, Other-service, Own-child, White, Male,0,0,40, Ecuador, <=50K
36, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, Yugoslavia, <=50K
56, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Female,0,0,35, Dominican-Republic, <=50K
38, Local-gov, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, South, <=50K
22, Private, Assoc-acdm, Never-married, Prof-specialty, Husband, White, Male,14343,0,60, Taiwan, <=50K
56, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,38, Ireland, <=50K
19, Private, HS-grad, Never-married, Tech-support, Other-relative, White, Male,0,0,30, Nicaragua, >50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Cambodia, >50K
57, Self-emp-not-inc, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,30, Cuba, <=50K
18, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,40, Poland, <=50K
39, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Vietnam, <=50K
54, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Columbia, >50K
56, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Yugoslavia, <=50K
24, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, Black, Female,0,0,65, Japan, <=50K
45, Private, Bachelors, Never-married, Other-service, Husband, White, Male,0,0,3, Yugoslavia, <=50K
31, Federal-gov, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Ecuador, <=50K
60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, Jamaica, >50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,60, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, China, <=50K
29, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
66, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,8978,0,50, Dominican-Republic, >50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Germany, <=50K
46, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Female,0,0,45, Cambodia, <=50K
41, Private, Masters, Married-civ-spouse, Machine-op-inspct, Wife, Black, Male,0,0,40, Canada, >50K
55, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Yugoslavia, >50K
21, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,48, Trinadad&Tobago, <=50K
22, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Female,0,0,48, Scotland, <=50K
22, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,99, El-Salvador, <=50K
33, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,50, Guatemala, <=50K
24, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,35, Guatemala, <=50K
46, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Ecuador, <=50K
26, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, Dominican-Republic, <=50K
56, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,32, Outlying-US(Guam-USVI-etc), >50K
31, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Laos, <=50K
