47, Private, HS-grad, Never-married, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,40, Cuba, <=50K
49, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Ireland, >50K
65, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,30, England, <=50K
23, Private, Some-college, Never-married, Prof-specialty, Own-child, Other, Male,0,0,35, El-Salvador, <=50K
37, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, United-States, >50K
30, Private, Assoc-acdm, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
26, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,40, Ecuador, <=50K
36, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
56, Private, HS-grad, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,35, Dominican-Republic, <=50K
38, Local-gov, Some-college, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, Scotland, <=50K
22, Private, 11th, Never-married, Prof-specialty, Husband, White, Male,14674,0,60, South, >50K
56, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,30, Nicaragua, >50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, Cambodia, <=50K
57, Self-emp-not-inc, HS-grad, Divorced, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,30, Cuba, <=50K
18, Private, Some-college, Never-married, Craft-repair, Own-child, Other, Female,0,0,40, Poland, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, Vietnam, <=50K
54, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Columbia, >50K
56, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,40, Yugoslavia, <=50K
24, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,65, Jamaica, <=50K
