47, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
48, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Iran, >50K
66, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,30, England, <=50K
23, Private, Some-college, Never-married, Priv-house-serv, Own-child, Other, Male,0,0,35, El-Salvador, <=50K
37, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, >50K
29, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
26, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Other, Female,0,0,40, Ecuador, <=50K
36, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
55, Private, HS-grad, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,35, Dominican-Republic, <=50K
37, Local-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,40, Scotland, <=50K
21, Private, Assoc-voc, Never-married, Prof-specialty, Husband, White, Male,7687,0,50, South, <=50K
56, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,38, Ireland, <=50K
19, Private, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,30, Mexico, >50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,50, Cambodia, >50K
56, Self-emp-not-inc, Masters, Divorced, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,30, Cuba, <=50K
18, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, Philippines, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,40, Vietnam, <=50K
53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, China, >50K
56, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,40, Yugoslavia, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,65, Jamaica, <=50K
44, Private, HS-grad, Never-married, Handlers-cleaners, Husband, Asian-Pac-Islander, Female,0,0,2, Yugoslavia, <=50K
30, Federal-gov, Bachelors, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,40, Ecuador, <=50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,60, Jamaica, <=50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Trinadad&Tobago, <=50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, China, <=50K
28, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
64, Self-emp-inc, Doctorate, Married-AF-spouse, Protective-serv, Unmarried, Other, Male,14301,0,50, Ecuador, >50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Germany, <=50K
46, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,45, Cambodia, <=50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
55, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
21, Private, Some-college, Never-married, Farming-fishing, Own-child, Black, Male,0,0,46, Taiwan, <=50K
22, Private, Some-college, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Female,0,0,45, Puerto-Rico, <=50K
22, Self-emp-inc, Some-college, Never-married, Sales, Not-in-family, Black, Male,0,0,98, El-Salvador, <=50K
33, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Greece, <=50K
24, Private, HS-grad, Never-married, Other-service, Not-in-family, Other, Female,0,0,35, Guatemala, <=50K
45, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,60, Ecuador, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,32, Nicaragua, >50K
31, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,50, Japan, >50K
21, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,50, Japan, <=50K
35, Private, Some-college, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
40, Private, Bachelors, Never-married, Farming-fishing, Husband, White, Male,0,0,54, Laos, <=50K
44, Private, Assoc-voc, Divorced, Other-service, Unmarried, Black, Male,0,0,36, Poland, >50K
38, Federal-gov, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,45, England, >50K
44, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, Black, Female,0,0,25, Hong, <=50K
43, Local-gov, HS-grad, Never-married, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male,0,0,60, Mexico, >50K
59, Self-emp-not-inc, Assoc-acdm, Widowed, Prof-specialty, Wife, Black, Male,0,0,40, Japan, <=50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,15024,0,54, Hong, >50K
49, Self-emp-inc, Masters, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,5178,0,45, Yugoslavia, <=50K
35, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,1848,50, Cuba, >50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Ecuador, <=50K
60, Self-emp-not-inc, Assoc-acdm, Never-married, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,20, Hungary, <=50K
24, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Other, Female,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
29, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Cuba, >50K
40, Private, 10th, Married-civ-spouse, Tech-support, Husband, Other, Female,0,0,40, Jamaica, <=50K
