45, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,40, Portugal, <=50K
47, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,60, United-States, >50K
64, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,30, United-States, <=50K
22, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,35, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
28, Private, 9th, Never-married, Protective-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, Thailand, <=50K
34, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,40, Yugoslavia, <=50K
54, Private, HS-grad, Widowed, Exec-managerial, Unmarried, White, Female,0,0,35, Puerto-Rico, <=50K
36, Local-gov, Masters, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
21, Private, Assoc-acdm, Never-married, Prof-specialty, Husband, White, Male,13921,0,54, United-States, >50K
55, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
19, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States, >50K
30, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Ecuador, >50K
55, Self-emp-not-inc, HS-grad, Divorced, Protective-serv, Unmarried, Black, Female,0,0,30, Mexico, <=50K
18, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
52, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Ireland, >50K
54, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,2, United-States, <=50K
29, Federal-gov, Bachelors, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, United-States, <=50K
59, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
57, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,60, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Haiti, <=50K
28, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
65, Private, Bachelors, Divorced, Protective-serv, Not-in-family, White, Female,10217,0,50, United-States, >50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Female,0,0,45, Cuba, <=50K
40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Dominican-Republic, >50K
54, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
20, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,48, United-States, <=50K
21, Private, Some-college, Never-married, Transport-moving, Own-child, Black, Female,0,0,46, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,96, United-States, <=50K
32, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,50, United-States, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, <=50K
44, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,60, United-States, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
54, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,30, United-States, >50K
30, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
20, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,50, United-States, <=50K
35, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
38, Private, Assoc-acdm, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,52, United-States, <=50K
43, Private, Assoc-voc, Divorced, Other-service, Wife, White, Male,0,0,35, United-States, <=50K
36, Local-gov, Assoc-acdm, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,45, United-States, <=50K
42, Local-gov, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
42, Local-gov, HS-grad, Never-married, Machine-op-inspct, Husband, Black, Male,0,0,60, United-States, <=50K
59, Self-emp-not-inc, Assoc-voc, Married-spouse-absent, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
36, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,15024,0,54, United-States, >50K
48, Self-emp-not-inc, Prof-school, Divorced, Craft-repair, Not-in-family, White, Female,5013,0,45, Vietnam, <=50K
35, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1748,50, Poland, >50K
24, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Philippines, <=50K
58, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,20, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,50, United-States, <=50K
28, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Philippines, >50K
40, Self-emp-not-inc, 11th, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
49, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
43, Private, 7th-8th, Divorced, Craft-repair, Not-in-family, White, Female,0,0,60, United-States, <=50K
42, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, England, <=50K
43, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,50, Yugoslavia, <=50K
49, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,50, United-States, >50K
39, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, >50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
38, Private, Assoc-voc, Separated, Farming-fishing, Not-in-family, White, Female,0,0,48, United-States, <=50K
37, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,45, United-States, <=50K
33, Private, Assoc-acdm, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,65, United-States, >50K
47, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
21, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,15, Mexico, <=50K
27, Private, Bachelors, Never-married, Adm-clerical, Wife, Black, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,40, Philippines, <=50K
56, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
20, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,50, Mexico, <=50K
20, Private, Bachelors, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
41, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
43, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Unmarried, White, Male,0,0,40, England, <=50K
41, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, Nicaragua, <=50K
60, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Bachelors, Divorced, Other-service, Own-child, Other, Female,0,0,35, United-States, <=50K
34, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
56, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Female,0,0,40, Italy, <=50K
47, Private, Bachelors, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,60, Hungary, <=50K
42, Private, Some-college, Never-married, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K
50, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
58, Private, Bachelors, Divorced, Sales, Wife, White, Female,99999,0,35, United-States, >50K
36, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Protective-serv, Own-child, Other, Male,0,0,40, France, <=50K
36, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
19, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,20, United-States, <=50K
53, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,0,45, United-States, <=50K
31, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,35, United-States, <=50K
39, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,0,0,36, United-States, <=50K
36, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3325,0,80, Jamaica, >50K
21, Local-gov, 10th, Married-civ-spouse, Sales, Own-child, White, Male,0,1667,16, United-States, <=50K
51, Self-emp-not-inc, HS-grad, Divorced, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7687,0,60, United-States, >50K
36, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,45, United-States, <=50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,30, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,35, United-States, <=50K
46, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
