47, State-gov, Bachelors, Divorced, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Honduras, <=50K
49, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
66, Self-emp-not-inc, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,30, Mexico, <=50K
23, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,35, Japan, <=50K
36, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
30, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Iran, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Other, Male,0,0,40, Yugoslavia, <=50K
56, Private, Doctorate, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,35, India, <=50K
38, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
21, Private, 11th, Never-married, Prof-specialty, Husband, White, Male,15024,0,54, United-States, >50K
56, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,38, United-States, <=50K
19, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, China, >50K
57, Self-emp-not-inc, HS-grad, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,30, Hong, <=50K
18, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
54, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, England, >50K
56, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
24, Private, Bachelors, Never-married, Sales, Own-child, Black, Female,0,0,65, United-States, <=50K
44, Self-emp-not-inc, Bachelors, Never-married, Machine-op-inspct, Husband, White, Male,0,0,3, Vietnam, <=50K
31, Federal-gov, Bachelors, Never-married, Prof-specialty, Own-child, Black, Male,0,0,40, India, <=50K
60, Private, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
59, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, El-Salvador, <=50K
29, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, Japan, <=50K
65, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,14118,0,50, Haiti, >50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Peru, <=50K
46, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Female,0,0,45, China, <=50K
41, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, Columbia, >50K
55, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, Yugoslavia, >50K
21, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,48, United-States, <=50K
22, Private, Some-college, Never-married, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,48, United-States, <=50K
22, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,99, Jamaica, <=50K
33, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
24, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,35, Trinadad&Tobago, <=50K
46, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,60, Japan, <=50K
26, Private, HS-grad, Divorced, Handlers-cleaners, Unmarried, Other, Female,0,0,40, Hong, <=50K
55, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,32, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
21, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,50, United-States, <=50K
36, Private, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Peru, <=50K
39, Private, Assoc-voc, Married-spouse-absent, Exec-managerial, Not-in-family, White, Female,0,0,54, United-States, <=50K
45, Private, Assoc-voc, Married-civ-spouse, Other-service, Wife, White, Male,0,0,38, United-States, >50K
38, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,45, Mexico, <=50K
44, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
44, Local-gov, HS-grad, Separated, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, <=50K
60, Self-emp-not-inc, Assoc-voc, Separated, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
38, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,15024,0,55, United-States, >50K
49, Self-emp-inc, Masters, Divorced, Craft-repair, Not-in-family, White, Female,7298,0,45, Yugoslavia, <=50K
36, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1732,50, Guatemala, >50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Iran, <=50K
60, Self-emp-not-inc, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,20, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Sales, Wife, White, Female,0,0,50, United-States, <=50K
29, State-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Haiti, >50K
41, Self-emp-not-inc, 5th-6th, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
51, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,60, United-States, <=50K
44, Private, Assoc-voc, Married-spouse-absent, Craft-repair, Not-in-family, White, Female,0,0,60, Italy, <=50K
43, Private, Some-college, Never-married, Sales, Not-in-family, Black, Male,0,0,40, Cuba, <=50K
44, Private, HS-grad, Divorced, Craft-repair, Own-child, White, Female,0,0,50, Yugoslavia, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, >50K
41, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, South, <=50K
53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,37, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, Trinadad&Tobago, >50K
40, Private, Assoc-voc, Separated, Exec-managerial, Not-in-family, White, Male,0,0,48, United-States, <=50K
39, Local-gov, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,45, United-States, <=50K
34, Private, Assoc-voc, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, Outlying-US(Guam-USVI-etc), <=50K
48, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Female,0,0,40, Philippines, <=50K
34, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Own-child, Other, Male,0,0,40, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, 11th, Never-married, Craft-repair, Own-child, Black, Female,0,0,16, Greece, <=50K
28, Private, Bachelors, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, Iran, <=50K
