48, Self-emp-not-inc, Bachelors, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Germany, <=50K
49, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
66, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,30, India, <=50K
23, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,35, Honduras, <=50K
37, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
30, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Honduras, <=50K
26, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Guatemala, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Black, Male,0,0,40, Yugoslavia, <=50K
56, Private, Masters, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,35, Greece, <=50K
39, Local-gov, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Male,15024,0,54, United-States, >50K
57, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
19, Private, Bachelors, Never-married, Sales, Own-child, Other, Female,0,0,30, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, China, >50K
57, Self-emp-inc, HS-grad, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,30, France, <=50K
18, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,40, United-States, <=50K
54, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Ecuador, >50K
57, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
24, Private, Assoc-voc, Never-married, Sales, Own-child, Black, Female,0,0,65, United-States, <=50K
45, Private, Assoc-voc, Never-married, Handlers-cleaners, Husband, White, Male,0,0,2, Yugoslavia, <=50K
31, Federal-gov, Bachelors, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Dominican-Republic, <=50K
29, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Hong, <=50K
66, Self-emp-inc, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,13737,0,50, Greece, >50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Jamaica, <=50K
46, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Other, Female,0,0,45, China, <=50K
41, Private, Masters, Never-married, Farming-fishing, Own-child, Other, Male,0,0,40, China, >50K
56, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, Yugoslavia, >50K
21, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,50, United-States, <=50K
22, Private, Some-college, Never-married, Tech-support, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
22, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,99, Hong, <=50K
33, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, Mexico, <=50K
24, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,35, Mexico, <=50K
46, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,60, Haiti, <=50K
26, Private, HS-grad, Divorced, Handlers-cleaners, Unmarried, Black, Female,0,0,40, Greece, <=50K
56, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,35, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
21, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,50, United-States, <=50K
37, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Ireland, <=50K
41, Private, Assoc-voc, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,54, United-States, <=50K
