47, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
49, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Jamaica, >50K
66, Self-emp-not-inc, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,30, France, <=50K
23, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,35, England, <=50K
37, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, United-States, >50K
30, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, England, <=50K
26, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,40, El-Salvador, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
56, Private, Prof-school, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,35, Ecuador, <=50K
38, Local-gov, Masters, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,40, Trinadad&Tobago, <=50K
22, Private, Assoc-voc, Never-married, Machine-op-inspct, Husband, White, Female,14887,0,54, Trinadad&Tobago, <=50K
57, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,38, Jamaica, <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,30, Philippines, >50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, Canada, >50K
57, Self-emp-not-inc, HS-grad, Divorced, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Male,0,0,30, Dominican-Republic, <=50K
18, Private, Some-college, Never-married, Craft-repair, Own-child, Other, Female,0,0,40, Scotland, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,0,40, Vietnam, <=50K
54, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Columbia, >50K
57, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,40, Yugoslavia, <=50K
24, Private, Assoc-voc, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,65, Mexico, <=50K
44, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,2, Yugoslavia, <=50K
31, Federal-gov, Bachelors, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,40, El-Salvador, <=50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Black, Female,0,0,60, Mexico, <=50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,60, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Columbia, <=50K
29, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, England, <=50K
66, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Other, Male,12517,0,50, Ecuador, >50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Greece, <=50K
46, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,45, Canada, <=50K
42, Private, HS-grad, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
56, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Wife, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, >50K
21, Private, HS-grad, Never-married, Farming-fishing, Own-child, Other, Male,0,0,49, United-States, <=50K
22, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Female,0,0,48, Thailand, <=50K
22, Self-emp-inc, Some-college, Never-married, Transport-moving, Not-in-family, Black, Male,0,0,99, England, <=50K
34, Private, Some-college, Never-married, Other-service, Not-in-family, Black, Female,0,0,50, Haiti, <=50K
24, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,35, Honduras, <=50K
46, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,60, El-Salvador, <=50K
26, Private, HS-grad, Never-married, Farming-fishing, Unmarried, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
56, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,32, Philippines, >50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,50, Nicaragua, <=50K
21, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,50, Nicaragua, <=50K
37, Private, HS-grad, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Germany, <=50K
40, Private, Assoc-voc, Divorced, Farming-fishing, Husband, White, Male,0,0,54, Outlying-US(Guam-USVI-etc), <=50K
45, Private, Assoc-acdm, Married-civ-spouse, Other-service, Wife, Other, Male,0,0,37, Scotland, >50K
38, Local-gov, Assoc-voc, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,45, France, <=50K
44, Private, HS-grad, Married-spouse-absent, Other-service, Own-child, Black, Female,0,0,25, India, <=50K
44, Local-gov, HS-grad, Separated, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,60, Peru, <=50K
60, Self-emp-not-inc, Assoc-acdm, Separated, Prof-specialty, Wife, Other, Male,0,0,40, Mexico, >50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,15024,0,54, Hungary, >50K
50, Self-emp-not-inc, Prof-school, Divorced, Exec-managerial, Unmarried, Black, Female,6945,0,45, Yugoslavia, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,1740,50, Cuba, >50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Ecuador, <=50K
60, Self-emp-not-inc, 9th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,20, Ireland, <=50K
26, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Other, Female,0,0,50, Poland, >50K
29, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Dominican-Republic, >50K
41, Self-emp-not-inc, 5th-6th, Married-civ-spouse, Tech-support, Husband, Other, Female,0,0,40, Laos, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Mexico, >50K
51, Private, Some-college, Divorced, Tech-support, Unmarried, White, Male,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,60, United-States, <=50K
45, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Other, Female,0,0,60, El-Salvador, <=50K
44, Private, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
44, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,50, Yugoslavia, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,50, United-States, >50K
41, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, Guatemala, <=50K
54, Private, Masters, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,36, Scotland, <=50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, Honduras, >50K
40, Private, Bachelors, Separated, Farming-fishing, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Taiwan, <=50K
39, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,45, Mexico, <=50K
34, Private, Assoc-acdm, Separated, Adm-clerical, Husband, White, Male,0,0,40, Ireland, <=50K
44, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, Germany, >50K
49, Private, Assoc-voc, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,40, Greece, <=50K
34, Private, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,40, Jamaica, <=50K
53, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Mexico, <=50K
22, Private, 11th, Never-married, Handlers-cleaners, Unmarried, Asian-Pac-Islander, Female,0,0,16, Cuba, <=50K
28, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Other, Female,0,0,40, El-Salvador, <=50K
58, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, >50K
21, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Dominican-Republic, <=50K
21, Private, Bachelors, Separated, Sales, Wife, Amer-Indian-Eskimo, Female,0,0,40, Greece, <=50K
43, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, United-States, >50K
45, Private, 9th, Never-married, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,40, China, <=50K
43, Private, Some-college, Separated, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
63, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Hong, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,44, Jamaica, >50K
26, Private, Bachelors, Divorced, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male,0,0,35, United-States, <=50K
35, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
