47, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,1887,50, Cuba, >50K
24, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Ireland, >50K
48, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,99999,0,50, England, >50K
32, Private, HS-grad, Divorced, Other-service, Not-in-family, Other, Male,0,0,40, El-Salvador, <=50K
66, Self-emp-inc, Doctorate, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,45, Trinadad&Tobago, >50K
40, Private, 1st-4th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
49, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,40, Ecuador, <=50K
38, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
32, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,45, Dominican-Republic, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Scotland, <=50K
21, Private, 11th, Never-married, Handlers-cleaners, Husband, White, Male,0,0,48, South, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Ireland, <=50K
30, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Mexico, >50K
56, Private, Some-college, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,40, Cambodia, >50K
31, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,1977,50, Cuba, >50K
29, Private, Some-college, Never-married, Craft-repair, Husband, Other, Female,0,0,50, Poland, <=50K
34, Private, Bachelors, Married-civ-spouse, Transport-moving, Own-child, Black, Female,0,0,40, Vietnam, <=50K
29, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,45, Columbia, <=50K
46, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,40, Yugoslavia, <=50K
28, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Jamaica, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, Yugoslavia, >50K
