49, Private, Masters, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,1894,45, Cuba, >50K
24, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Ireland, >50K
48, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,99999,0,50, El-Salvador, >50K
31, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Male,0,0,40, El-Salvador, <=50K
66, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,45, Trinadad&Tobago, >50K
40, Private, 7th-8th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
49, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Ecuador, >50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, >50K
32, Private, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,45, Dominican-Republic, <=50K
25, Local-gov, Masters, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, Scotland, <=50K
21, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,46, Scotland, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Ireland, <=50K
30, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,40, Nicaragua, >50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Canada, <=50K
32, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,1977,45, Cuba, >50K
29, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,50, Poland, <=50K
35, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,40, Vietnam, <=50K
29, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,45, Columbia, <=50K
46, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,40, Yugoslavia, <=50K
