48, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,1977,48, Cuba, >50K
24, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,50, Ireland, >50K
47, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,99999,0,50, France, >50K
31, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
66, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
40, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, El-Salvador, <=50K
49, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
38, Private, Assoc-voc, Divorced, Craft-repair, Wife, Other, Male,0,0,40, Yugoslavia, <=50K
32, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, Dominican-Republic, <=50K
25, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, South, <=50K
21, Private, 11th, Never-married, Machine-op-inspct, Husband, White, Male,0,0,48, South, <=50K
23, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Italy, <=50K
30, Self-emp-inc, Bachelors, Never-married, Sales, Husband, White, Female,0,0,40, Nicaragua, >50K
55, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, Canada, <=50K
31, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Other, Male,0,1902,48, Cuba, <=50K
29, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, Poland, <=50K
34, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, Vietnam, <=50K
29, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Columbia, >50K
45, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Yugoslavia, >50K
28, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Female,0,0,50, Japan, >50K
45, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,50, Yugoslavia, <=50K
44, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, Black, Male,0,0,30, Ecuador, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,80, Jamaica, >50K
50, Self-emp-inc, Some-college, Divorced, Sales, Husband, White, Male,0,0,50, United-States, <=50K
28, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, China, <=50K
28, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
36, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Male,0,0,40, Dominican-Republic, >50K
73, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,10, Germany, <=50K
57, Private, HS-grad, Widowed, Craft-repair, Husband, White, Female,0,0,44, Canada, <=50K
86, Self-emp-inc, Doctorate, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,7687,0,40, Canada, >50K
37, State-gov, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,50, Yugoslavia, <=50K
31, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, Thailand, <=50K
33, Private, Some-college, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Female,0,0,25, Puerto-Rico, <=50K
63, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,17659,0,54, El-Salvador, >50K
47, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,45, Guatemala, <=50K
46, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, Haiti, >50K
42, State-gov, HS-grad, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,35, Ecuador, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,40, Dominican-Republic, <=50K
42, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Nicaragua, >50K
27, Local-gov, Assoc-voc, Never-married, Adm-clerical, Own-child, White, Male,0,0,50, Laos, <=50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,4965,0,35, Japan, >50K
36, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, France, <=50K
20, Private, Assoc-acdm, Never-married, Handlers-cleaners, Husband, White, Male,0,0,48, Mexico, <=50K
40, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Poland, >50K
23, Local-gov, 12th, Married-civ-spouse, Other-service, Unmarried, Black, Male,0,0,40, England, <=50K
21, Local-gov, Doctorate, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Hungary, <=50K
22, Local-gov, HS-grad, Never-married, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, Nicaragua, <=50K
17, Private, 10th, Separated, Other-service, Own-child, White, Male,0,0,20, Laos, <=50K
64, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Honduras, <=50K
39, Self-emp-inc, Masters, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
32, Private, Assoc-voc, Divorced, Exec-managerial, Husband, White, Male,0,0,40, Cuba, >50K
