49, Self-emp-inc, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,1902,48, Dominican-Republic, >50K
25, Private, HS-grad, Divorced, Sales, Husband, Other, Male,0,0,50, Iran, >50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,99999,0,45, France, <=50K
32, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, Other, Male,0,0,40, El-Salvador, <=50K
65, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,45, Trinadad&Tobago, >50K
40, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, El-Salvador, <=50K
49, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, Other, Female,0,0,40, Ecuador, <=50K
38, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
33, Private, HS-grad, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,45, Dominican-Republic, <=50K
25, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Scotland, <=50K
22, Private, 12th, Never-married, Machine-op-inspct, Husband, White, Female,0,0,48, Scotland, <=50K
24, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Ireland, <=50K
31, Private, Bachelors, Never-married, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Nicaragua, >50K
56, Private, Some-college, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,40, Cambodia, <=50K
32, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,1940,50, Cuba, <=50K
30, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,50, Philippines, <=50K
35, Private, HS-grad, Divorced, Transport-moving, Unmarried, Black, Female,0,0,40, Vietnam, <=50K
