48, Private, HS-grad, Divorced, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,1902,45, United-States, >50K
24, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
47, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,99999,0,50, United-States, >50K
30, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
65, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
39, Private, 5th-6th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
37, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, Vietnam, >50K
32, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
24, Local-gov, Masters, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
21, Private, 12th, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,45, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Other-relative, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
29, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
54, Private, Some-college, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,0,40, Ecuador, >50K
30, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1977,45, United-States, >50K
28, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,50, United-States, <=50K
33, Private, Doctorate, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, Mexico, <=50K
44, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
43, Federal-gov, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,27, United-States, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,78, United-States, >50K
48, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, <=50K
27, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Italy, <=50K
27, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,40, Trinadad&Tobago, >50K
76, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,6, United-States, <=50K
56, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
90, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,25, Cuba, >50K
37, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
30, Private, Prof-school, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,24, United-States, <=50K
66, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,25729,0,54, United-States, >50K
46, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States, >50K
41, State-gov, HS-grad, Separated, Other-service, Unmarried, Black, Female,0,0,30, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Taiwan, <=50K
41, Self-emp-inc, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
27, Local-gov, Assoc-voc, Never-married, Adm-clerical, Own-child, White, Male,0,0,50, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,3925,0,35, United-States, >50K
35, Private, Some-college, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
20, Private, Assoc-acdm, Never-married, Handlers-cleaners, Husband, White, Male,0,0,45, United-States, <=50K
39, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Local-gov, 12th, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Local-gov, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, Prof-school, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Vietnam, <=50K
31, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
27, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,0,35, Thailand, <=50K
36, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,0,0,45, United-States, >50K
47, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,25, United-States, <=50K
61, State-gov, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,18614,0,40, United-States, >50K
25, Self-emp-not-inc, 10th, Never-married, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
20, Private, Masters, Married-civ-spouse, Handlers-cleaners, Own-child, White, Female,0,0,20, United-States, <=50K
27, Private, Prof-school, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
37, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,27, Haiti, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, >50K
28, Private, Some-college, Never-married, Prof-specialty, Other-relative, Black, Female,0,0,20, United-States, <=50K
31, Private, Masters, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, <=50K
32, Private, HS-grad, Divorced, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
55, Private, Masters, Divorced, Transport-moving, Not-in-family, White, Female,0,0,50, United-States, <=50K
35, Private, Assoc-voc, Separated, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
69, Federal-gov, Some-college, Widowed, Adm-clerical, Wife, White, Female,0,0,5, United-States, <=50K
65, Private, 9th, Married-civ-spouse, Adm-clerical, Husband, White, Male,3093,0,40, United-States, <=50K
75, Private, HS-grad, Married-civ-spouse, Protective-serv, Not-in-family, White, Female,0,0,30, United-States, <=50K
25, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
50, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, >50K
42, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
61, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
33, Private, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, Black, Male,0,0,40, United-States, <=50K
58, Private, Bachelors, Divorced, Exec-managerial, Wife, White, Female,15024,0,30, United-States, >50K
31, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Tech-support, Own-child, Black, Female,0,0,35, Puerto-Rico, <=50K
23, Private, Bachelors, Never-married, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
28, Private, 1st-4th, Never-married, Adm-clerical, Own-child, White, Female,2191,0,12, United-States, >50K
36, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, Hungary, <=50K
29, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Poland, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,40, United-States, <=50K
33, Private, Masters, Married-civ-spouse, Exec-managerial, Own-child, White, Female,0,0,60, United-States, <=50K
37, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,51, United-States, <=50K
33, Private, Assoc-voc, Never-married, Protective-serv, Not-in-family, White, Male,0,0,54, United-States, <=50K
43, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, Mexico, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, Iran, <=50K
42, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,50, United-States, <=50K
20, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,1733,20, United-States, <=50K
29, Private, Doctorate, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
27, Private, HS-grad, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Protective-serv, Wife, Black, Female,0,0,20, Honduras, <=50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States, >50K
39, Private, HS-grad, Divorced, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
30, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,60, United-States, >50K
35, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Local-gov, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Jamaica, >50K
26, Federal-gov, 5th-6th, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Farming-fishing, Unmarried, White, Female,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Sales, Not-in-family, Black, Male,3154,0,40, United-States, <=50K
37, Private, Masters, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
47, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
38, Private, Masters, Never-married, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
42, State-gov, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,50, United-States, <=50K
24, Self-emp-not-inc, Prof-school, Never-married, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
35, Without-pay, Some-college, Separated, Protective-serv, Not-in-family, White, Male,0,0,70, United-States, <=50K
28, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Female,0,0,16, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
34, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
53, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,34, United-States, <=50K
58, Private, Prof-school, Widowed, Farming-fishing, Husband, White, Male,0,0,30, United-States, <=50K
50, Private, Doctorate, Married-spouse-absent, Sales, Husband, White, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
26, Private, Some-college, Married-spouse-absent, Transport-moving, Not-in-family, White, Male,0,0,60, United-States, <=50K
90, Private, 7th-8th, Widowed, Priv-house-serv, Husband, Other, Male,0,0,20, United-States, <=50K
48, Private, Masters, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, Honduras, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,4845,0,40, United-States, >50K
67, State-gov, HS-grad, Widowed, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,44, United-States, <=50K
20, Private, Some-college, Never-married, Craft-repair, Other-relative, White, Female,0,0,40, United-States, <=50K
40, Local-gov, 9th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,60, United-States, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,15, United-States, <=50K
30, State-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
28, Private, 10th, Never-married, Other-service, Own-child, Black, Female,0,0,30, United-States, <=50K
41, Local-gov, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
46, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,32, United-States, <=50K
30, Self-emp-inc, Masters, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
21, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Mexico, >50K
23, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,8, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
61, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
21, Local-gov, 10th, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,35, United-States, <=50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,9, United-States, <=50K
53, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Poland, <=50K
29, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
44, Private, Some-college, Divorced, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
66, Local-gov, HS-grad, Widowed, Sales, Not-in-family, White, Female,0,0,20, United-States, <=50K
33, Private, Doctorate, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,50, United-States, <=50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Female,0,0,32, United-States, <=50K
32, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1902,45, United-States, >50K
29, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
49, Private, Prof-school, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,77, United-States, >50K
49, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Puerto-Rico, >50K
47, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
54, Private, 7th-8th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,35, United-States, >50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Female,0,0,15, United-States, <=50K
63, State-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
55, Private, 5th-6th, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, >50K
31, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
26, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,27, United-States, <=50K
56, Private, HS-grad, Widowed, Protective-serv, Wife, White, Male,0,0,25, United-States, <=50K
24, Private, HS-grad, Separated, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
27, Private, 10th, Never-married, Other-service, Wife, White, Male,0,0,30, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
38, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, >50K
41, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
23, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,25, United-States, <=50K
75, Private, Some-college, Widowed, Sales, Husband, White, Male,2871,0,20, United-States, <=50K
61, Federal-gov, 11th, Widowed, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
30, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, Some-college, Separated, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,60, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
20, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Female,0,1887,30, United-States, <=50K
63, Private, Some-college, Widowed, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
23, Federal-gov, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
50, Local-gov, 1st-4th, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
45, Private, Some-college, Separated, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Transport-moving, Unmarried, White, Male,0,0,30, United-States, <=50K
40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, United-States, >50K
62, Self-emp-not-inc, HS-grad, Separated, Exec-managerial, Husband, White, Male,0,0,32, England, <=50K
42, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
20, Private, HS-grad, Never-married, Craft-repair, Other-relative, White, Male,0,0,25, United-States, <=50K
49, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,50, Nicaragua, <=50K
35, Private, Some-college, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, >50K
29, Private, Some-college, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,0,0,70, United-States, >50K
62, Private, Masters, Widowed, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,50, United-States, <=50K
42, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,3556,0,40, United-States, <=50K
53, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, >50K
38, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,40, Yugoslavia, <=50K
63, Private, Assoc-voc, Separated, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Canada, >50K
63, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1902,98, United-States, >50K
24, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Female,0,0,45, United-States, <=50K
41, Local-gov, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Tech-support, Unmarried, Other, Male,0,0,40, United-States, <=50K
52, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,60, Germany, <=50K
43, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
37, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,7687,0,44, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,45, United-States, <=50K
41, Local-gov, 12th, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, >50K
40, State-gov, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Private, Some-college, Separated, Prof-specialty, Wife, White, Female,0,0,10, United-States, <=50K
33, Federal-gov, Some-college, Separated, Machine-op-inspct, Own-child, White, Male,0,0,40, Canada, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,15, United-States, <=50K
30, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
24, Private, Assoc-acdm, Never-married, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Female,0,0,14, United-States, <=50K
59, Local-gov, HS-grad, Widowed, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,2278,40, United-States, <=50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, 12th, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
52, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Iran, >50K
23, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
