48, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,1902,45, Hungary, >50K
24, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
48, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,99999,0,50, Mexico, >50K
32, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,40, Laos, <=50K
66, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
40, Private, 5th-6th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Laos, <=50K
49, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Italy, >50K
39, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Wife, Other, Male,0,0,40, Yugoslavia, >50K
32, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, Ireland, <=50K
25, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
21, Private, 5th-6th, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,46, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, United-States, <=50K
30, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
56, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Columbia, <=50K
32, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Black, Male,0,1977,45, Hong, >50K
29, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,50, United-States, <=50K
34, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,45, Germany, <=50K
46, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
28, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,50, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Vietnam, >50K
44, Federal-gov, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,30, Ireland, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,80, United-States, >50K
49, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
28, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, England, <=50K
28, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, Mexico, <=50K
37, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, Ireland, >50K
77, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,5, Taiwan, <=50K
57, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,42, Columbia, <=50K
90, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,20, Columbia, >50K
38, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, Yugoslavia, <=50K
31, Private, Masters, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,25, United-States, <=50K
67, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,26402,0,54, Jamaica, >50K
47, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Female,0,0,45, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States, >50K
42, State-gov, HS-grad, Separated, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,35, Jamaica, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, India, <=50K
42, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
