48, Self-emp-inc, Masters, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,1887,45, France, >50K
24, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, >50K
47, Self-emp-inc, Doctorate, Married-civ-spouse, Farming-fishing, Husband, White, Female,99999,0,50, Ireland, >50K
31, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Hungary, <=50K
65, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
40, Private, 9th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Iran, <=50K
49, Private, Masters, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Haiti, >50K
38, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Black, Male,0,0,40, Yugoslavia, >50K
32, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, Haiti, <=50K
25, Local-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
21, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, White, Male,0,0,48, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, United-States, <=50K
30, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, Other, Female,0,0,40, United-States, >50K
55, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, China, <=50K
30, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,1977,45, Germany, >50K
29, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, El-Salvador, <=50K
45, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
