47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,1937,48, Dominican-Republic, >50K
24, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Jamaica, >50K
48, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,99999,0,50, France, >50K
31, Private, Masters, Never-married, Other-service, Not-in-family, Other, Male,0,0,40, England, <=50K
65, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,45, United-States, >50K
40, Private, 5th-6th, Never-married, Protective-serv, Not-in-family, Black, Female,0,0,40, England, <=50K
49, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,40, El-Salvador, >50K
38, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, >50K
32, Private, HS-grad, Never-married, Exec-managerial, Husband, Black, Female,0,0,45, Ecuador, <=50K
25, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
21, Private, 11th, Never-married, Machine-op-inspct, Husband, White, Female,0,0,48, United-States, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Japan, <=50K
30, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Philippines, >50K
55, Self-emp-inc, Some-college, Married-civ-spouse, Priv-house-serv, Husband, White, Female,0,0,40, Canada, <=50K
31, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,1977,48, Dominican-Republic, >50K
29, Private, Some-college, Never-married, Craft-repair, Not-in-family, Other, Female,0,0,50, Scotland, <=50K
34, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, Other, Female,0,0,40, Vietnam, <=50K
29, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, Columbia, <=50K
45, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Male,0,0,40, Yugoslavia, <=50K
28, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Mexico, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, Yugoslavia, >50K
44, Federal-gov, HS-grad, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,30, El-Salvador, <=50K
