49, Self-emp-inc, HS-grad, Divorced, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,1974,45, Dominican-Republic, >50K
24, Private, HS-grad, Divorced, Sales, Husband, Other, Male,0,0,50, Ireland, >50K
45, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,99999,0,50, England, >50K
31, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, Other, Male,0,0,40, El-Salvador, <=50K
66, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,45, United-States, >50K
40, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, El-Salvador, >50K
49, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, Other, Female,0,0,40, Ecuador, <=50K
38, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
33, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,45, Dominican-Republic, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, South, <=50K
21, Private, 12th, Never-married, Machine-op-inspct, Husband, White, Female,0,0,46, South, <=50K
23, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Ireland, <=50K
30, Private, Bachelors, Never-married, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Nicaragua, >50K
55, Private, Some-college, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,40, Canada, <=50K
30, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,1964,45, Cuba, <=50K
29, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,50, Poland, <=50K
34, Private, HS-grad, Divorced, Transport-moving, Unmarried, Black, Female,0,0,40, Vietnam, <=50K
29, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,45, Columbia, >50K
45, Private, HS-grad, Divorced, Adm-clerical, Husband, Other, Male,0,0,40, Yugoslavia, >50K
28, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Japan, >50K
45, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,0,0,50, Yugoslavia, <=50K
43, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,30, Ecuador, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, Black, Female,0,0,80, Jamaica, >50K
49, Self-emp-not-inc, Some-college, Divorced, Sales, Husband, White, Female,0,0,50, United-States, <=50K
28, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, China, <=50K
28, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
36, Private, Bachelors, Divorced, Prof-specialty, Own-child, Black, Male,0,0,40, Dominican-Republic, >50K
74, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,8, Germany, <=50K
57, Private, HS-grad, Widowed, Craft-repair, Husband, Black, Female,0,0,42, Cambodia, <=50K
90, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,14299,0,25, Canada, >50K
38, State-gov, Some-college, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,50, Yugoslavia, <=50K
31, Private, Prof-school, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, Thailand, <=50K
33, Private, Some-college, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Female,0,0,25, Puerto-Rico, <=50K
68, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,38318,0,54, El-Salvador, >50K
47, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,45, Guatemala, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,15024,0,40, Guatemala, >50K
42, State-gov, HS-grad, Never-married, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Male,0,0,35, Ecuador, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
42, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Nicaragua, >50K
27, Local-gov, Assoc-voc, Never-married, Adm-clerical, Own-child, Black, Male,0,0,50, Japan, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,3393,0,35, Japan, >50K
36, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
20, Private, Assoc-acdm, Never-married, Handlers-cleaners, Husband, White, Male,0,0,45, Mexico, <=50K
40, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, Poland, >50K
23, Local-gov, 5th-6th, Married-civ-spouse, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,40, England, <=50K
21, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Hong, <=50K
22, Local-gov, HS-grad, Never-married, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Nicaragua, <=50K
17, Private, 10th, Separated, Prof-specialty, Own-child, Black, Male,0,0,20, Japan, <=50K
63, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
39, Self-emp-inc, Masters, Married-civ-spouse, Adm-clerical, Husband, Black, Female,0,0,40, Yugoslavia, <=50K
32, Private, Assoc-acdm, Divorced, Exec-managerial, Husband, Other, Male,0,0,40, Cuba, >50K
27, Private, HS-grad, Married-spouse-absent, Adm-clerical, Not-in-family, Black, Female,0,0,38, Ecuador, <=50K
37, Self-emp-inc, Assoc-voc, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,45, India, <=50K
47, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,25, Outlying-US(Guam-USVI-etc), <=50K
63, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,15636,0,40, Cuba, >50K
25, Self-emp-inc, 10th, Never-married, Transport-moving, Not-in-family, Other, Female,0,0,60, Jamaica, <=50K
20, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,24, Japan, <=50K
27, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Taiwan, >50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, Black, Female,0,0,41, Thailand, <=50K
38, Private, 11th, Married-civ-spouse, Adm-clerical, Own-child, Other, Female,0,0,40, Ecuador, <=50K
19, Private, Masters, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,30, Canada, <=50K
42, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Female,0,0,40, Yugoslavia, >50K
29, Private, Some-college, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Taiwan, >50K
31, Private, HS-grad, Never-married, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,60, Greece, <=50K
33, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,40, Poland, <=50K
56, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Haiti, >50K
36, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,50, Puerto-Rico, <=50K
69, Federal-gov, Some-college, Widowed, Adm-clerical, Wife, White, Male,0,0,8, Jamaica, <=50K
66, Private, 7th-8th, Widowed, Adm-clerical, Husband, White, Male,0,0,40, India, <=50K
76, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,32, France, <=50K
26, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,40, Germany, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,45, Ireland, <=50K
43, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,0,60, Japan, >50K
61, Local-gov, 11th, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
33, Private, Doctorate, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, <=50K
59, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Other, Female,15024,0,35, Ecuador, >50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
20, Private, Some-college, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Male,0,0,35, Cuba, <=50K
23, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Germany, <=50K
29, Private, 12th, Never-married, Adm-clerical, Wife, White, Female,1963,0,15, South, >50K
37, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,70, Canada, <=50K
30, Private, Some-college, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0,0,43, Honduras, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,60, Ireland, >50K
38, Self-emp-inc, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,54, United-States, <=50K
33, Private, Assoc-voc, Never-married, Sales, Not-in-family, White, Male,0,0,54, Trinadad&Tobago, <=50K
44, Private, HS-grad, Divorced, Tech-support, Husband, Other, Female,0,0,40, Columbia, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
43, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,0,0,54, Hong, >50K
