30, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,34, South, <=50K
37, Private, HS-grad, Divorced, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, <=50K
23, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Priv-house-serv, Own-child, White, Female,0,0,27, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, Vietnam, <=50K
42, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
29, Local-gov, Some-college, Separated, Farming-fishing, Own-child, White, Male,0,0,35, United-States, <=50K
29, Private, Assoc-acdm, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,25, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
62, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,12, Cuba, <=50K
26, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, Mexico, <=50K
19, Private, Some-college, Never-married, Farming-fishing, Own-child, White, Female,0,0,20, United-States, <=50K
35, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico, >50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,4542,0,50, United-States, >50K
26, Private, Assoc-voc, Divorced, Other-service, Own-child, Black, Female,0,0,40, United-States, <=50K
55, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,20, United-States, <=50K
46, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,5166,0,40, United-States, >50K
30, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
74, Self-emp-not-inc, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,8, United-States, <=50K
44, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,35, Italy, <=50K
48, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
54, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Separated, Adm-clerical, Own-child, White, Female,0,0,40, England, <=50K
34, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Germany, >50K
38, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1899,40, United-States, >50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,5399,0,40, United-States, >50K
45, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Private, Bachelors, Divorced, Sales, Not-in-family, White, Male,0,1612,60, United-States, <=50K
40, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,1672,40, United-States, <=50K
70, Self-emp-not-inc, Bachelors, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,0,1372,16, United-States, <=50K
46, Self-emp-not-inc, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
32, Local-gov, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States, >50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
65, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,54, United-States, >50K
27, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, Bachelors, Divorced, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
27, Local-gov, Assoc-acdm, Never-married, Other-service, Unmarried, White, Female,0,0,38, United-States, <=50K
65, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,42, United-States, >50K
45, Federal-gov, HS-grad, Separated, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,45, United-States, <=50K
40, Self-emp-not-inc, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,24, United-States, <=50K
32, Private, Masters, Divorced, Adm-clerical, Not-in-family, White, Female,10723,0,40, Vietnam, >50K
23, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,32, United-States, <=50K
44, Self-emp-inc, Bachelors, Divorced, Craft-repair, Not-in-family, White, Female,0,0,65, United-States, <=50K
33, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,45, United-States, <=50K
56, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
