30, Private, HS-grad, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,35, Dominican-Republic, <=50K
37, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, Ireland, >50K
23, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, England, <=50K
39, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
24, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Prof-specialty, Own-child, White, Female,0,0,30, El-Salvador, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Ecuador, <=50K
18, Private, 9th, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, Yugoslavia, <=50K
42, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, Dominican-Republic, <=50K
29, Local-gov, Bachelors, Never-married, Prof-specialty, Wife, White, Female,0,0,35, Taiwan, >50K
29, Private, 7th-8th, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,25, South, <=50K
25, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,42, Italy, >50K
37, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, Mexico, <=50K
63, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,12, Cambodia, <=50K
26, Private, HS-grad, Never-married, Other-service, Own-child, Black, Male,0,0,40, Dominican-Republic, <=50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,20, Poland, <=50K
35, Private, Bachelors, Divorced, Sales, Wife, White, Female,0,0,40, Vietnam, <=50K
51, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Columbia, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,3468,0,50, Yugoslavia, >50K
26, Private, Assoc-voc, Never-married, Other-service, Unmarried, Black, Female,0,0,40, Jamaica, <=50K
55, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,20, Yugoslavia, <=50K
45, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,5030,0,40, Ecuador, <=50K
30, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,36, Jamaica, <=50K
75, Self-emp-not-inc, Some-college, Divorced, Protective-serv, Not-in-family, White, Female,0,0,8, United-States, <=50K
44, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,35, China, <=50K
48, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, El-Salvador, <=50K
54, Private, Assoc-voc, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, Dominican-Republic, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Germany, <=50K
19, Private, HS-grad, Separated, Adm-clerical, Own-child, White, Female,0,0,40, Canada, <=50K
34, Private, Masters, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Canada, >50K
38, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1902,40, Yugoslavia, >50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Thailand, <=50K
35, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Scotland, <=50K
36, Private, Some-college, Married-civ-spouse, Priv-house-serv, Husband, White, Male,5323,0,40, El-Salvador, <=50K
45, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
35, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,530,60, Guatemala, <=50K
40, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,1669,40, Ecuador, <=50K
67, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,20, Dominican-Republic, <=50K
46, Self-emp-not-inc, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
32, Federal-gov, Bachelors, Never-married, Exec-managerial, Own-child, White, Male,0,0,50, Laos, >50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Laos, >50K
65, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,54, France, <=50K
27, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Mexico, >50K
