30, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,35, Germany, <=50K
37, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, >50K
23, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, Iran, <=50K
40, Private, HS-grad, Divorced, Machine-op-inspct, Other-relative, White, Male,0,0,40, Hong, <=50K
24, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Prof-specialty, Own-child, White, Female,0,0,30, Hong, <=50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Haiti, <=50K
18, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Own-child, Black, Male,0,0,40, Yugoslavia, <=50K
42, Private, HS-grad, Separated, Craft-repair, Unmarried, Other, Female,0,0,40, Greece, <=50K
29, Private, Bachelors, Never-married, Prof-specialty, Wife, Other, Male,0,0,35, United-States, >50K
30, Private, 7th-8th, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,25, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, >50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, Black, Female,0,0,40, United-States, >50K
63, Self-emp-not-inc, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,12, China, <=50K
26, Private, Some-college, Married-civ-spouse, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, Germany, <=50K
19, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,20, United-States, <=50K
35, Private, Bachelors, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Ecuador, >50K
36, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,4294,0,50, Vietnam, >50K
26, Private, Assoc-voc, Never-married, Other-service, Own-child, Black, Female,0,0,40, United-States, <=50K
55, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,20, Yugoslavia, <=50K
45, Federal-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,5013,0,40, Guatemala, >50K
30, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,35, United-States, <=50K
76, Self-emp-not-inc, Some-college, Divorced, Protective-serv, Not-in-family, White, Female,0,0,8, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,35, Dominican-Republic, <=50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Hungary, <=50K
55, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Japan, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, Other, Female,0,0,40, China, <=50K
34, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Male,0,0,40, China, <=50K
39, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,1902,40, Yugoslavia, <=50K
21, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
36, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,5047,0,40, Hong, <=50K
