29, Private, HS-grad, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,45, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
21, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, United-States, >50K
19, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,25, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, <=50K
28, Private, Bachelors, Divorced, Craft-repair, Wife, White, Male,0,0,50, Vietnam, <=50K
25, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
33, Local-gov, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
42, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
57, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Female,6092,0,50, United-States, >50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,7687,0,70, United-States, >50K
41, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Greece, >50K
29, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
31, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,7298,0,50, United-States, >50K
48, Self-emp-inc, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
43, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,42, United-States, <=50K
23, Private, Assoc-voc, Never-married, Prof-specialty, Other-relative, White, Male,0,0,40, United-States, <=50K
39, Private, Bachelors, Widowed, Craft-repair, Not-in-family, White, Female,5703,0,60, United-States, <=50K
37, Federal-gov, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,45, United-States, <=50K
26, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
33, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,42, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, Taiwan, >50K
23, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,4090,0,40, United-States, <=50K
49, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
38, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,54, Hungary, <=50K
28, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Guatemala, <=50K
19, State-gov, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
