28, Private, Some-college, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,45, Taiwan, <=50K
49, Private, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,0,0,52, United-States, >50K
21, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Mexico, <=50K
46, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, United-States, <=50K
19, Private, 11th, Never-married, Prof-specialty, Own-child, White, Male,0,0,25, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
27, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,50, Vietnam, <=50K
25, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico, <=50K
33, Local-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
41, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
56, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,5013,0,50, United-States, >50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,7687,0,70, United-States, >50K
40, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Guatemala, >50K
28, Private, Some-college, Married-spouse-absent, Prof-specialty, Not-in-family, Black, Male,0,0,40, Mexico, <=50K
29, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, United-States, >50K
30, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,7298,0,50, United-States, >50K
48, Self-emp-inc, Bachelors, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, Jamaica, <=50K
43, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,1585,45, United-States, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Separated, Exec-managerial, Not-in-family, White, Female,5345,0,60, United-States, <=50K
36, Federal-gov, HS-grad, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,45, United-States, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
32, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,44, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,40, Laos, >50K
23, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,3490,0,40, United-States, <=50K
49, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, Taiwan, <=50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
37, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,54, Greece, <=50K
27, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Guatemala, <=50K
19, State-gov, Some-college, Never-married, Farming-fishing, Own-child, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
26, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Black, Male,0,0,45, United-States, <=50K
40, Private, Some-college, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,1740,40, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,45, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,10, United-States, <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,48, United-States, <=50K
36, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
41, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
58, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Male,98944,0,40, United-States, >50K
24, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,7687,0,45, United-States, >50K
68, Local-gov, HS-grad, Widowed, Other-service, Not-in-family, White, Female,0,0,35, United-States, <=50K
29, Local-gov, HS-grad, Never-married, Prof-specialty, Husband, Black, Male,3900,0,45, United-States, >50K
22, Private, HS-grad, Separated, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
33, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,3459,0,40, United-States, <=50K
36, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1894,50, Vietnam, >50K
18, Private, 7th-8th, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,40, Mexico, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, United-States, <=50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
34, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, United-States, >50K
58, State-gov, HS-grad, Separated, Exec-managerial, Not-in-family, White, Female,0,0,35, United-States, <=50K
24, Self-emp-not-inc, 11th, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
49, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Male,0,0,45, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, >50K
