27, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,45, Cuba, <=50K
49, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,50, Iran, >50K
21, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Female,0,0,40, England, <=50K
22, Private, HS-grad, Never-married, Other-service, Not-in-family, Other, Male,0,0,40, El-Salvador, <=50K
46, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,35, Trinadad&Tobago, <=50K
19, Private, 11th, Never-married, Sales, Own-child, Black, Female,0,0,20, El-Salvador, <=50K
28, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,50, Ecuador, <=50K
26, Private, Bachelors, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,50, Yugoslavia, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Dominican-Republic, <=50K
32, Local-gov, HS-grad, Never-married, Exec-managerial, Husband, Black, Male,0,0,54, Scotland, <=50K
41, Private, 7th-8th, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,40, Scotland, <=50K
55, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,7512,0,50, Italy, >50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,8393,0,68, Nicaragua, >50K
40, Private, Some-college, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,40, Cambodia, <=50K
27, Private, HS-grad, Married-civ-spouse, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
28, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,50, Philippines, <=50K
29, Private, Bachelors, Married-civ-spouse, Transport-moving, Not-in-family, Black, Female,7298,0,50, Vietnam, <=50K
48, Self-emp-not-inc, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,40, Columbia, >50K
42, Private, HS-grad, Divorced, Adm-clerical, Husband, Other, Male,0,1902,40, Yugoslavia, >50K
22, Private, Assoc-voc, Never-married, Other-service, Other-relative, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,7329,0,60, Yugoslavia, >50K
35, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, Ecuador, <=50K
24, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Black, Female,0,0,40, Jamaica, <=50K
31, Private, Some-college, Divorced, Protective-serv, Not-in-family, White, Female,0,0,42, Trinadad&Tobago, <=50K
42, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1945,40, China, <=50K
22, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Black, Female,3461,0,40, El-Salvador, >50K
49, Private, Bachelors, Divorced, Prof-specialty, Unmarried, Black, Male,0,0,40, Dominican-Republic, >50K
39, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,50, Germany, <=50K
37, Private, HS-grad, Separated, Craft-repair, Husband, Black, Female,0,0,54, Cambodia, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
19, State-gov, Some-college, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
39, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,50, Thailand, <=50K
25, Private, Some-college, Never-married, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Puerto-Rico, <=50K
39, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, El-Salvador, <=50K
45, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,1902,40, Guatemala, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Husband, Other, Male,0,0,45, Guatemala, <=50K
30, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, Ecuador, <=50K
19, Private, Bachelors, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,10, Dominican-Republic, <=50K
51, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,45, Nicaragua, >50K
35, Local-gov, Assoc-voc, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, Japan, <=50K
44, Private, Bachelors, Married-civ-spouse, Other-service, Unmarried, White, Female,0,0,40, Japan, >50K
32, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
41, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Laos, <=50K
60, Private, Assoc-voc, Divorced, Other-service, Husband, Black, Male,54661,0,40, Poland, >50K
23, Local-gov, 12th, Married-civ-spouse, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Male,7687,0,45, England, >50K
67, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,30, Hong, <=50K
27, Local-gov, HS-grad, Never-married, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,2789,0,43, Nicaragua, >50K
21, Private, Assoc-voc, Separated, Other-service, Unmarried, Black, Male,0,0,40, Japan, <=50K
32, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,3118,0,40, Hong, <=50K
35, Self-emp-inc, Masters, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,1902,50, Yugoslavia, <=50K
18, Private, 11th, Never-married, Handlers-cleaners, Not-in-family, Other, Male,0,0,40, Cuba, <=50K
42, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,30, Ecuador, <=50K
45, Self-emp-inc, Assoc-voc, Married-spouse-absent, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, India, <=50K
33, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,45, Outlying-US(Guam-USVI-etc), <=50K
58, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,32, Cuba, >50K
23, Private, 10th, Never-married, Tech-support, Not-in-family, Other, Female,0,0,42, Jamaica, <=50K
