29, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,45, Portugal, <=50K
50, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, >50K
21, Private, Bachelors, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Other-service, Other-relative, White, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, United-States, <=50K
19, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,24, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,50, Vietnam, <=50K
25, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Philippines, >50K
33, Local-gov, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
57, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,5017,0,50, United-States, >50K
49, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,7687,0,70, United-States, >50K
41, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Dominican-Republic, >50K
28, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, Black, Male,0,0,40, Mexico, <=50K
29, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
31, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,7298,0,50, United-States, >50K
48, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, India, <=50K
43, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
39, Private, Bachelors, Separated, Exec-managerial, Not-in-family, White, Female,6799,0,60, United-States, <=50K
37, Federal-gov, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,45, United-States, <=50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, Honduras, >50K
23, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,4641,0,40, United-States, <=50K
49, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, Puerto-Rico, <=50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
37, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,54, El-Salvador, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, El-Salvador, <=50K
19, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, Vietnam, <=50K
40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
26, Private, Some-college, Never-married, Transport-moving, Other-relative, Black, Male,0,0,45, United-States, <=50K
41, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,1740,40, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,45, Taiwan, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,10, United-States, <=50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
37, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, United-States, >50K
41, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
59, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Male,16612,0,40, United-States, >50K
24, Federal-gov, Assoc-voc, Divorced, Prof-specialty, Wife, White, Male,7687,0,40, United-States, >50K
68, Local-gov, HS-grad, Widowed, Other-service, Not-in-family, White, Female,0,0,30, United-States, <=50K
30, Federal-gov, HS-grad, Never-married, Machine-op-inspct, Husband, Black, Male,4386,0,45, United-States, >50K
22, Private, Bachelors, Never-married, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,3325,0,40, United-States, <=50K
36, Self-emp-inc, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1887,50, Yugoslavia, >50K
18, Private, Assoc-acdm, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,40, Mexico, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, Scotland, <=50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
34, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
58, State-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,35, Nicaragua, <=50K
24, Self-emp-inc, 11th, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
49, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Male,0,0,45, United-States, <=50K
40, Private, Masters, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, >50K
30, Self-emp-inc, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,60, United-States, <=50K
45, Private, 11th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,35, Trinadad&Tobago, <=50K
30, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, France, <=50K
55, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, Yugoslavia, >50K
45, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,1887,40, United-States, >50K
32, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
23, Private, Prof-school, Never-married, Transport-moving, Not-in-family, White, Male,0,0,30, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, United-States, >50K
35, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Other-relative, White, Male,0,0,50, United-States, <=50K
17, Private, 10th, Never-married, Adm-clerical, Other-relative, White, Male,0,0,11, United-States, <=50K
24, Private, Some-college, Never-married, Sales, Husband, White, Male,0,0,30, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
27, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Male,647,0,40, United-States, <=50K
33, Local-gov, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Japan, <=50K
31, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Female,0,0,50, United-States, <=50K
56, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
45, Private, HS-grad, Divorced, Tech-support, Unmarried, Black, Female,0,0,40, Philippines, <=50K
44, Private, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, >50K
20, Private, 11th, Never-married, Adm-clerical, Own-child, White, Male,0,0,30, United-States, >50K
42, Local-gov, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, France, <=50K
49, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, Taiwan, >50K
47, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,45, United-States, <=50K
28, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
38, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
61, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,35, Mexico, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,45, India, <=50K
35, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,45, United-States, <=50K
43, Private, Prof-school, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,41, United-States, >50K
59, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
33, State-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
31, Private, HS-grad, Never-married, Sales, Unmarried, Black, Male,0,0,40, France, <=50K
42, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,35, United-States, <=50K
24, Private, Masters, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
47, Local-gov, Bachelors, Divorced, Other-service, Not-in-family, White, Male,0,2027,40, India, <=50K
41, Federal-gov, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
64, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, >50K
36, Private, Some-college, Never-married, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Divorced, Exec-managerial, Other-relative, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
40, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
62, Self-emp-not-inc, Masters, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,0,2429,60, United-States, >50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
41, Without-pay, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,42, United-States, <=50K
35, Private, Bachelors, Divorced, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
22, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
61, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,20, United-States, >50K
55, Self-emp-not-inc, Masters, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, United-States, <=50K
28, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
28, Self-emp-not-inc, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
32, Private, Some-college, Never-married, Sales, Unmarried, Other, Male,0,1594,50, United-States, <=50K
26, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, Black, Female,0,0,60, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,45, Guatemala, <=50K
50, Self-emp-not-inc, HS-grad, Divorced, Farming-fishing, Unmarried, White, Male,0,0,45, United-States, <=50K
30, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,7, United-States, <=50K
59, State-gov, HS-grad, Widowed, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
64, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
19, Local-gov, 9th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, >50K
42, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
30, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, <=50K
72, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,16, United-States, >50K
25, Private, HS-grad, Never-married, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
49, State-gov, Some-college, Never-married, Farming-fishing, Not-in-family, Black, Female,0,0,30, United-States, <=50K
20, Private, HS-grad, Never-married, Transport-moving, Other-relative, White, Male,0,0,46, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Japan, >50K
40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, Some-college, Divorced, Sales, Husband, White, Male,0,0,60, United-States, <=50K
23, Private, HS-grad, Divorced, Craft-repair, Own-child, White, Male,0,0,30, United-States, >50K
50, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
49, Federal-gov, Bachelors, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,30, United-States, <=50K
34, Private, Some-college, Never-married, Farming-fishing, Husband, White, Male,0,0,45, United-States, <=50K
60, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,60, Philippines, <=50K
54, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
19, Self-emp-not-inc, Bachelors, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,10, United-States, <=50K
33, Private, Some-college, Divorced, Handlers-cleaners, Own-child, White, Female,0,0,35, United-States, <=50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Puerto-Rico, >50K
62, Local-gov, Some-college, Married-civ-spouse, Protective-serv, Unmarried, White, Female,15024,0,35, United-States, >50K
31, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,90, United-States, <=50K
34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
39, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,3103,0,45, United-States, <=50K
27, Self-emp-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,2784,0,50, United-States, <=50K
17, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
58, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
27, Private, Some-college, Never-married, Sales, Other-relative, White, Male,0,0,79, United-States, >50K
35, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, White, Male,0,0,50, Poland, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Assoc-voc, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,30, United-States, >50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
42, State-gov, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States, >50K
24, Private, 11th, Never-married, Sales, Unmarried, White, Female,0,0,25, United-States, <=50K
49, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,2284,40, United-States, >50K
45, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Female,0,0,7, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,53, United-States, >50K
21, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,50, United-States, <=50K
22, Private, HS-grad, Never-married, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
31, Private, 11th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
62, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,40, United-States, <=50K
53, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
50, Private, Some-college, Widowed, Sales, Not-in-family, White, Female,0,0,32, United-States, <=50K
39, Local-gov, Assoc-acdm, Never-married, Exec-managerial, Unmarried, White, Male,5013,0,50, United-States, <=50K
47, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, <=50K
35, Local-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, >50K
36, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
62, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
