28, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,25, Cuba, <=50K
29, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, Iran, >50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Female,0,0,40, England, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, El-Salvador, <=50K
57, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1902,40, United-States, >50K
35, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, El-Salvador, <=50K
38, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Female,7298,0,40, Ecuador, <=50K
27, Private, Bachelors, Divorced, Craft-repair, Wife, Other, Male,0,0,40, Yugoslavia, <=50K
29, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, Dominican-Republic, <=50K
57, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,80, Taiwan, <=50K
33, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, South, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Ireland, <=50K
34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,60, Mexico, >50K
47, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, Cambodia, <=50K
24, Private, Prof-school, Married-civ-spouse, Sales, Own-child, Black, Male,0,0,40, Cuba, <=50K
32, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,1899,35, Poland, <=50K
73, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,30, Vietnam, <=50K
36, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Columbia, >50K
