28, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,25, Cuba, <=50K
29, Private, HS-grad, Divorced, Sales, Husband, Other, Male,0,0,40, Iran, >50K
29, Private, Bachelors, Married-spouse-absent, Craft-repair, Own-child, White, Female,0,0,40, England, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, Other, Male,0,0,40, El-Salvador, <=50K
59, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,1977,40, Trinadad&Tobago, >50K
35, Private, 1st-4th, Never-married, Prof-specialty, Husband, Black, Female,0,0,40, El-Salvador, <=50K
36, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Female,7388,0,35, Ecuador, <=50K
27, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
29, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Dominican-Republic, <=50K
55, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,71, South, <=50K
32, Private, 5th-6th, Never-married, Handlers-cleaners, Husband, White, Female,0,0,40, South, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Ireland, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,60, Mexico, >50K
47, Private, Some-college, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,40, Canada, <=50K
23, Private, Masters, Married-spouse-absent, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
35, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,1900,36, Peru, >50K
73, Private, Bachelors, Divorced, Transport-moving, Unmarried, Black, Female,0,0,30, Vietnam, <=50K
36, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Columbia, >50K
38, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,25, Yugoslavia, <=50K
32, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,15024,0,60, Italy, >50K
40, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,0,0,60, Yugoslavia, <=50K
20, Local-gov, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
27, Private, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, Black, Female,0,0,40, Italy, <=50K
39, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
28, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, China, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
29, Private, Bachelors, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,30, Dominican-Republic, <=50K
64, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, Black, Female,0,0,35, Germany, <=50K
31, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, Cambodia, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,1965,0,40, Canada, >50K
27, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
26, Private, Some-college, Never-married, Exec-managerial, Own-child, Black, Male,0,0,50, Thailand, <=50K
30, Private, Some-college, Never-married, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Portugal, <=50K
42, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,1656,12, El-Salvador, <=50K
17, Private, 12th, Never-married, Other-service, Own-child, Black, Female,0,0,20, Greece, <=50K
45, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, Other, Male,0,0,50, Guatemala, >50K
31, State-gov, HS-grad, Never-married, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, Ecuador, <=50K
25, Private, Bachelors, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,47, Dominican-Republic, <=50K
27, Self-emp-inc, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,30, Nicaragua, <=50K
34, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,40, Japan, <=50K
32, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,50, Japan, <=50K
54, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,38, France, >50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,3716,0,60, Laos, >50K
21, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Own-child, Black, Male,0,0,40, Philippines, <=50K
36, Federal-gov, 7th-8th, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,45, England, <=50K
47, Local-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,40, Hong, <=50K
50, Federal-gov, HS-grad, Widowed, Other-service, Husband, Amer-Indian-Eskimo, Male,1143,0,40, Mexico, >50K
33, Self-emp-inc, Assoc-voc, Separated, Prof-specialty, Wife, Other, Male,0,0,55, Jamaica, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,45, Honduras, <=50K
29, Self-emp-inc, Masters, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,54, Yugoslavia, <=50K
38, Private, Assoc-voc, Divorced, Exec-managerial, Husband, Other, Male,3103,0,35, Cuba, >50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, Dominican-Republic, <=50K
49, Self-emp-inc, Assoc-acdm, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Hungary, <=50K
59, Private, Some-college, Divorced, Sales, Husband, Other, Female,0,0,60, Nicaragua, >50K
43, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Cuba, >50K
51, Self-emp-not-inc, 10th, Never-married, Tech-support, Not-in-family, Other, Female,0,0,30, Italy, <=50K
47, Private, HS-grad, Divorced, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,15024,0,40, Italy, >50K
28, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,2023,0,40, South, >50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,99999,0,40, Thailand, <=50K
40, Private, 11th, Married-civ-spouse, Adm-clerical, Own-child, Other, Female,0,0,40, Ecuador, <=50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
40, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Female,0,0,40, Yugoslavia, >50K
67, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,99999,0,40, Thailand, >50K
33, Private, HS-grad, Never-married, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
31, Private, HS-grad, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,50, Peru, <=50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Guatemala, >50K
19, Private, 11th, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Female,0,0,25, Poland, <=50K
32, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,4064,0,16, Ireland, <=50K
23, Private, 11th, Never-married, Adm-clerical, Husband, White, Male,0,0,15, Hungary, <=50K
23, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,30, England, <=50K
29, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,19, France, <=50K
47, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Ireland, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Male,0,1895,40, Jamaica, >50K
52, Local-gov, 11th, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,36, Columbia, <=50K
63, Private, Bachelors, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Italy, <=50K
43, Private, Bachelors, Divorced, Exec-managerial, Wife, Other, Female,3152,0,40, Dominican-Republic, >50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1976,40, South, >50K
24, Private, HS-grad, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
34, Private, Bachelors, Separated, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,37, France, <=50K
38, Private, 9th, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,50, South, >50K
33, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Other-relative, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
23, Private, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,30, Cuba, <=50K
56, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,7687,0,40, India, >50K
50, Self-emp-inc, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,42, United-States, <=50K
38, Self-emp-inc, Assoc-voc, Never-married, Sales, Husband, White, Male,0,0,60, Trinadad&Tobago, >50K
51, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Black, Female,0,0,40, Columbia, <=50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, China, <=50K
47, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Black, Female,0,0,40, Hong, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
35, Local-gov, HS-grad, Divorced, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, Greece, <=50K
39, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,80, Guatemala, <=50K
46, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,45, Thailand, >50K
28, Private, HS-grad, Never-married, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Canada, <=50K
33, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male,0,0,40, El-Salvador, <=50K
54, Private, HS-grad, Divorced, Handlers-cleaners, Unmarried, Other, Female,0,0,40, Taiwan, <=50K
36, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,7117,0,40, Taiwan, >50K
53, Self-emp-not-inc, HS-grad, Separated, Exec-managerial, Husband, White, Male,0,0,20, Taiwan, <=50K
46, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,40, Puerto-Rico, >50K
57, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,50, France, >50K
70, Local-gov, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,50, Columbia, >50K
