28, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,25, Poland, <=50K
29, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, >50K
29, Private, Bachelors, Married-spouse-absent, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
18, Private, Masters, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
59, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1902,40, United-States, >50K
35, Private, 1st-4th, Never-married, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Other-service, Other-relative, White, Female,7298,0,38, United-States, >50K
27, Private, Bachelors, Divorced, Craft-repair, Wife, White, Male,0,0,40, Yugoslavia, <=50K
29, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, South, <=50K
57, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,73, United-States, <=50K
32, Private, 5th-6th, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,60, United-States, >50K
48, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, Ecuador, <=50K
23, Private, Masters, Never-married, Sales, Own-child, Black, Male,0,0,40, Philippines, <=50K
35, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,1848,40, United-States, <=50K
74, Private, Bachelors, Divorced, Transport-moving, Other-relative, White, Female,0,0,30, United-States, <=50K
36, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Mexico, >50K
39, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Male,0,0,25, United-States, <=50K
31, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,60, United-States, >50K
40, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
20, Local-gov, HS-grad, Never-married, Craft-repair, Own-child, Other, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
39, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, Ireland, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,0,0,30, Puerto-Rico, <=50K
64, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,35, United-States, <=50K
31, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
30, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,3226,0,40, El-Salvador, >50K
28, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, Vietnam, <=50K
26, Private, Prof-school, Never-married, Exec-managerial, Own-child, White, Male,0,0,50, United-States, <=50K
30, Private, Some-college, Never-married, Tech-support, Other-relative, Black, Female,0,0,40, United-States, <=50K
41, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,1974,12, United-States, <=50K
17, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, >50K
31, State-gov, HS-grad, Never-married, Protective-serv, Not-in-family, Black, Male,0,0,60, United-States, <=50K
26, Private, Bachelors, Never-married, Farming-fishing, Unmarried, White, Female,0,0,46, Thailand, <=50K
27, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,30, United-States, <=50K
34, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,50, United-States, >50K
56, Private, Some-college, Married-civ-spouse, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,38, United-States, <=50K
52, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,5235,0,60, United-States, <=50K
21, Private, Bachelors, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
37, Local-gov, 5th-6th, Divorced, Prof-specialty, Unmarried, White, Male,0,0,45, United-States, >50K
48, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
51, Local-gov, HS-grad, Widowed, Other-service, Husband, Asian-Pac-Islander, Male,3424,0,40, United-States, <=50K
33, Self-emp-inc, Assoc-voc, Widowed, Prof-specialty, Wife, White, Male,0,0,60, United-States, <=50K
37, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
29, Private, Masters, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,54, Vietnam, <=50K
40, Private, Assoc-acdm, Divorced, Exec-managerial, Husband, White, Male,3335,0,38, Philippines, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
50, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
61, Private, Some-college, Divorced, Sales, Husband, White, Male,0,0,60, United-States, <=50K
43, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Puerto-Rico, >50K
53, Self-emp-inc, 10th, Never-married, Tech-support, Unmarried, White, Female,0,0,30, United-States, <=50K
46, Private, HS-grad, Divorced, Exec-managerial, Husband, Other, Female,15024,0,40, United-States, >50K
28, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,3149,0,40, United-States, >50K
43, Self-emp-not-inc, Prof-school, Married-civ-spouse, Farming-fishing, Unmarried, White, Female,99999,0,40, United-States, >50K
40, Private, 11th, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Germany, <=50K
40, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,0,0,40, Yugoslavia, >50K
67, Self-emp-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Black, Male,99999,0,40, United-States, >50K
33, Private, HS-grad, Never-married, Other-service, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,50, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
19, Private, 11th, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,25, United-States, <=50K
31, Local-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,3105,0,16, United-States, <=50K
23, Private, 11th, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,15, United-States, <=50K
23, Private, Some-college, Never-married, Sales, Husband, White, Male,0,0,32, United-States, <=50K
29, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Female,0,0,16, United-States, <=50K
48, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,1881,40, United-States, >50K
54, Local-gov, 11th, Divorced, Craft-repair, Unmarried, White, Female,0,0,36, Mexico, <=50K
65, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
44, Private, HS-grad, Divorced, Exec-managerial, Wife, White, Male,3673,0,40, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, United-States, >50K
