27, Self-emp-not-inc, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,25, Ecuador, <=50K
29, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, Laos, <=50K
29, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, Germany, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, France, <=50K
58, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1902,40, United-States, <=50K
34, Private, Bachelors, Never-married, Prof-specialty, Own-child, Black, Female,0,0,40, England, <=50K
35, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Female,7298,0,35, El-Salvador, >50K
27, Private, Some-college, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
29, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
56, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,73, United-States, <=50K
32, Private, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Laos, <=50K
32, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,60, Portugal, >50K
46, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, Canada, >50K
23, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
36, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,1685,37, Thailand, >50K
73, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,0,30, Vietnam, >50K
35, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Unmarried, White, Male,0,0,50, Columbia, >50K
38, Private, Some-college, Divorced, Adm-clerical, Own-child, White, Male,0,0,24, Yugoslavia, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,15024,0,60, Peru, >50K
40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,60, Yugoslavia, >50K
20, Private, Some-college, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, El-Salvador, <=50K
27, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,40, Nicaragua, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,40, United-States, <=50K
27, Private, Some-college, Divorced, Craft-repair, Own-child, White, Male,0,0,40, Columbia, <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, France, >50K
28, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,30, Ecuador, <=50K
