28, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,25, Dominican-Republic, <=50K
28, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, Jamaica, >50K
29, Private, Bachelors, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,40, France, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, England, <=50K
59, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,1977,40, United-States, >50K
34, Private, 1st-4th, Never-married, Prof-specialty, Husband, Black, Female,0,0,40, England, <=50K
37, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,7298,0,35, El-Salvador, <=50K
27, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
28, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Ecuador, <=50K
55, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,72, United-States, <=50K
31, Private, 5th-6th, Never-married, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Japan, <=50K
32, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,60, Philippines, >50K
47, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, Canada, >50K
23, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
35, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,1887,36, Taiwan, <=50K
74, Private, Doctorate, Divorced, Transport-moving, Other-relative, Other, Female,0,0,30, Vietnam, <=50K
35, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Columbia, >50K
37, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,25, Yugoslavia, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,15024,0,60, Mexico, >50K
39, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,0,0,60, Yugoslavia, <=50K
20, Local-gov, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, El-Salvador, <=50K
27, Private, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, Black, Female,0,0,40, Mexico, <=50K
38, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, Columbia, <=50K
34, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, England, <=50K
29, Private, Bachelors, Divorced, Prof-specialty, Unmarried, Other, Male,0,0,30, Ecuador, <=50K
63, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, Black, Female,0,0,35, Greece, <=50K
31, Private, HS-grad, Separated, Adm-clerical, Not-in-family, Black, Female,0,0,40, Canada, <=50K
30, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,4475,0,40, Canada, >50K
27, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
26, Private, Masters, Never-married, Exec-managerial, Own-child, Other, Male,0,0,50, United-States, <=50K
30, Private, Some-college, Never-married, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,1712,10, England, <=50K
17, Private, 12th, Never-married, Other-service, Own-child, Black, Female,0,0,20, Honduras, <=50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Honduras, <=50K
31, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, El-Salvador, <=50K
26, Private, Bachelors, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,48, Ecuador, <=50K
26, Self-emp-inc, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,30, Poland, <=50K
33, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, Other, Male,0,0,40, Nicaragua, <=50K
32, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,50, Nicaragua, >50K
54, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,38, Germany, >50K
52, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,60, Peru, >50K
21, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Own-child, Other, Male,0,0,40, Taiwan, <=50K
36, Federal-gov, 7th-8th, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,45, France, <=50K
47, Local-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,40, India, <=50K
50, Federal-gov, HS-grad, Widowed, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,4651,0,40, Philippines, >50K
32, Self-emp-inc, Assoc-voc, Separated, Prof-specialty, Unmarried, Other, Male,0,0,55, Nicaragua, <=50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,45, Hungary, <=50K
29, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,54, Yugoslavia, <=50K
38, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Other, Male,3915,0,33, Dominican-Republic, >50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
49, Self-emp-inc, Assoc-acdm, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Ireland, <=50K
59, Private, Some-college, Divorced, Protective-serv, Husband, Other, Female,0,0,60, Portugal, >50K
42, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Dominican-Republic, >50K
51, Self-emp-not-inc, 10th, Never-married, Tech-support, Not-in-family, Other, Female,0,0,30, Mexico, <=50K
46, Private, Doctorate, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Female,15024,0,40, Mexico, >50K
28, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,4641,0,40, United-States, >50K
41, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Female,99999,0,40, United-States, <=50K
39, Private, 11th, Married-civ-spouse, Adm-clerical, Own-child, Other, Female,0,0,40, El-Salvador, <=50K
37, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
39, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Female,0,0,40, Yugoslavia, >50K
64, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,99999,0,40, United-States, >50K
32, Private, HS-grad, Never-married, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Female,0,0,40, Guatemala, <=50K
31, Private, HS-grad, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,50, Taiwan, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Honduras, >50K
19, Private, 11th, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Female,0,0,25, Trinadad&Tobago, <=50K
32, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Male,3993,0,19, Mexico, <=50K
23, Private, 11th, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,15, Italy, <=50K
23, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,30, Germany, <=50K
28, Private, Bachelors, Married-spouse-absent, Prof-specialty, Husband, Other, Female,0,0,15, Greece, <=50K
47, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,40, Japan, <=50K
27, Private, Masters, Never-married, Craft-repair, Own-child, Other, Male,0,1887,40, Nicaragua, >50K
52, Local-gov, 11th, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,35, Cuba, <=50K
63, Private, Doctorate, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,4513,0,40, El-Salvador, >50K
42, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,1930,40, United-States, >50K
24, Private, HS-grad, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
34, Private, Bachelors, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,38, Greece, <=50K
37, Private, 9th, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, >50K
32, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Other-relative, Asian-Pac-Islander, Female,0,0,40, China, <=50K
23, Private, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,30, Dominican-Republic, <=50K
56, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0,0,40, Hong, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,7524,0,40, Japan, >50K
50, Self-emp-inc, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
37, Self-emp-inc, Assoc-acdm, Never-married, Sales, Husband, White, Male,0,0,60, United-States, <=50K
52, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Other, Female,0,0,40, Cuba, <=50K
35, Private, Doctorate, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,50, China, <=50K
47, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,40, Iran, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
34, Local-gov, Doctorate, Divorced, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, Honduras, >50K
39, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,80, Haiti, <=50K
46, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,45, United-States, >50K
28, Private, HS-grad, Never-married, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
32, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,40, France, <=50K
54, Private, HS-grad, Divorced, Handlers-cleaners, Unmarried, Other, Female,0,0,40, United-States, >50K
37, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,7298,0,40, United-States, >50K
53, Self-emp-not-inc, Masters, Separated, Exec-managerial, Husband, White, Male,0,0,20, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,40, United-States, >50K
57, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,50, Greece, >50K
68, Local-gov, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,50, Columbia, >50K
76, Federal-gov, 7th-8th, Married-civ-spouse, Protective-serv, Husband, Other, Male,5013,0,25, Mexico, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,0,0,40, United-States, >50K
37, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Thailand, <=50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,1902,40, Jamaica, >50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Sales, Husband, Other, Male,0,0,50, Germany, <=50K
28, State-gov, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
43, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,5178,0,60, United-States, >50K
34, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,54, United-States, <=50K
35, State-gov, Prof-school, Never-married, Protective-serv, Husband, White, Male,0,0,60, Honduras, <=50K
25, Private, Bachelors, Divorced, Other-service, Not-in-family, Black, Male,0,0,14, England, <=50K
74, Private, HS-grad, Widowed, Sales, Husband, Other, Male,0,0,15, Guatemala, <=50K
57, Private, Some-college, Divorced, Exec-managerial, Husband, Other, Female,0,0,54, United-States, <=50K
