27, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,11627,0,50, United-States, >50K
22, Private, Masters, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, >50K
38, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,0,40, United-States, <=50K
51, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
33, Private, 7th-8th, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
54, Local-gov, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,14176,0,50, United-States, >50K
22, Private, Doctorate, Divorced, Craft-repair, Unmarried, White, Male,0,0,45, Vietnam, <=50K
54, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
54, Federal-gov, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,36, United-States, >50K
35, Private, 5th-6th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, United-States, >50K
25, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Male,0,0,45, United-States, >50K
23, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,12, Greece, <=50K
52, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
64, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1887,40, United-States, >50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Nicaragua, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Self-emp-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
46, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,68, United-States, <=50K
35, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,32, United-States, <=50K
65, Private, HS-grad, Divorced, Farming-fishing, Unmarried, White, Female,0,0,40, United-States, <=50K
29, Private, Some-college, Divorced, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,4064,0,45, Puerto-Rico, <=50K
32, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,35, United-States, <=50K
19, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,30, United-States, <=50K
40, Private, HS-grad, Divorced, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,50, Iran, <=50K
34, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,42, Jamaica, >50K
31, State-gov, Some-college, Never-married, Other-service, Wife, White, Female,0,0,4, United-States, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,30, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
48, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
20, Private, Bachelors, Never-married, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, <=50K
46, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
58, Private, Bachelors, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
34, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
36, Local-gov, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,0,50, United-States, <=50K
30, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,1596,40, United-States, <=50K
59, Private, Some-college, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,40, United-States, <=50K
23, Private, 9th, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,38, United-States, <=50K
59, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
40, Federal-gov, 7th-8th, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,45, United-States, <=50K
47, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
37, Federal-gov, HS-grad, Separated, Other-service, Husband, Black, Male,0,0,40, United-States, <=50K
36, Self-emp-not-inc, Bachelors, Separated, Prof-specialty, Unmarried, White, Male,0,0,72, United-States, <=50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
24, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Vietnam, <=50K
46, Local-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, >50K
29, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, Private, Assoc-voc, Separated, Other-service, Not-in-family, White, Female,0,0,45, United-States, <=50K
29, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
31, Private, 10th, Never-married, Transport-moving, Other-relative, White, Male,0,0,49, United-States, <=50K
24, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
49, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, 10th, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
43, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
57, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,8, Yugoslavia, >50K
23, Private, Some-college, Never-married, Prof-specialty, Other-relative, White, Male,0,0,15, United-States, <=50K
63, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,30, United-States, <=50K
