26, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,13603,0,50, United-States, >50K
21, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-spouse-absent, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
32, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
52, Private, Masters, Divorced, Other-service, Not-in-family, White, Female,14083,0,50, United-States, >50K
21, Private, Bachelors, Divorced, Craft-repair, Wife, White, Male,0,0,45, Vietnam, <=50K
53, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
52, Federal-gov, Masters, Never-married, Other-service, Husband, White, Male,0,0,38, United-States, <=50K
33, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,50, United-States, >50K
24, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male,0,0,45, United-States, >50K
22, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,12, Germany, <=50K
50, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
63, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1876,40, United-States, <=50K
40, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Philippines, >50K
32, Private, Masters, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
45, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,70, United-States, <=50K
33, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,32, Puerto-Rico, <=50K
64, Private, Masters, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
27, Private, Some-college, Divorced, Protective-serv, Own-child, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,4000,0,45, Mexico, <=50K
28, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,35, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,30, United-States, <=50K
38, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,50, Haiti, <=50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Honduras, >50K
28, State-gov, Some-college, Never-married, Prof-specialty, Wife, White, Female,0,0,5, United-States, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,30, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
19, Private, HS-grad, Never-married, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, <=50K
45, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
56, Private, Bachelors, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
32, State-gov, Some-college, Never-married, Prof-specialty, Unmarried, White, Female,0,0,35, United-States, <=50K
34, Local-gov, Bachelors, Never-married, Adm-clerical, Unmarried, White, Male,0,0,50, United-States, <=50K
27, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,1692,40, United-States, <=50K
57, Private, Some-college, Divorced, Protective-serv, Unmarried, Black, Female,0,0,40, United-States, <=50K
22, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,38, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
39, Federal-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
45, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
35, Federal-gov, HS-grad, Separated, Other-service, Husband, Black, Male,0,0,40, United-States, <=50K
34, Self-emp-not-inc, Bachelors, Separated, Prof-specialty, Wife, White, Male,0,0,72, United-States, <=50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
23, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Vietnam, <=50K
45, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
27, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Self-emp-inc, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,0,0,45, United-States, <=50K
