26, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,10496,0,50, Dominican-Republic, >50K
21, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, Ireland, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,40, England, <=50K
58, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, El-Salvador, <=50K
47, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, >50K
32, Private, 1st-4th, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, El-Salvador, <=50K
53, Local-gov, Masters, Divorced, Prof-specialty, Not-in-family, White, Female,13757,0,50, Ecuador, >50K
21, Private, Bachelors, Divorced, Craft-repair, Unmarried, White, Male,0,0,45, Yugoslavia, <=50K
53, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Dominican-Republic, >50K
52, Federal-gov, Masters, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,0,0,38, South, >50K
33, Private, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, South, <=50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,50, Italy, >50K
24, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male,0,0,45, Nicaragua, >50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,15, Canada, <=50K
50, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Cuba, <=50K
44, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Poland, <=50K
63, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1881,40, Vietnam, >50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Columbia, <=50K
32, Private, Masters, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Yugoslavia, <=50K
40, Self-emp-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Japan, >50K
44, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,66, Yugoslavia, <=50K
33, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, Ecuador, <=50K
64, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
27, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,3694,0,45, China, <=50K
27, Private, Bachelors, Never-married, Craft-repair, Own-child, Black, Female,0,0,35, El-Salvador, <=50K
18, Private, Bachelors, Never-married, Priv-house-serv, Own-child, Black, Female,0,0,30, Dominican-Republic, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Germany, <=50K
38, Private, Doctorate, Never-married, Craft-repair, Husband, White, Male,0,0,50, Canada, <=50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,42, Canada, >50K
28, State-gov, Some-college, Never-married, Prof-specialty, Wife, White, Female,0,0,5, Yugoslavia, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,30, Thailand, <=50K
36, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Scotland, <=50K
33, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, El-Salvador, <=50K
47, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,50, Guatemala, <=50K
19, Private, Bachelors, Never-married, Protective-serv, Not-in-family, White, Male,0,0,50, Guatemala, <=50K
45, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,45, Ecuador, <=50K
56, Self-emp-inc, Bachelors, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, Dominican-Republic, <=50K
32, State-gov, Prof-school, Never-married, Prof-specialty, Unmarried, White, Female,0,0,35, Nicaragua, >50K
34, Local-gov, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,0,50, Laos, <=50K
