26, Private, Bachelors, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,7687,0,50, Dominican-Republic, >50K
21, Private, Some-college, Never-married, Sales, Not-in-family, Other, Male,0,0,40, Iran, <=50K
36, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, England, <=50K
58, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, El-Salvador, <=50K
48, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,40, Trinadad&Tobago, >50K
32, Private, 10th, Married-civ-spouse, Sales, Husband, Black, Male,0,0,60, El-Salvador, >50K
53, Local-gov, Masters, Divorced, Prof-specialty, Not-in-family, White, Female,14725,0,50, Ecuador, >50K
21, Private, HS-grad, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,45, Yugoslavia, <=50K
53, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,60, Dominican-Republic, >50K
52, Federal-gov, Masters, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,38, Scotland, >50K
33, Private, 5th-6th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Scotland, <=50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,50, Ireland, >50K
24, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Mexico, >50K
22, Private, Some-college, Never-married, Prof-specialty, Own-child, Other, Female,0,0,15, Canada, <=50K
50, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
43, Private, Some-college, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,40, Philippines, <=50K
65, Self-emp-inc, Doctorate, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,1880,40, Vietnam, >50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, China, <=50K
32, Private, Masters, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,40, Yugoslavia, <=50K
40, Self-emp-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,50, Jamaica, >50K
45, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,70, Yugoslavia, <=50K
33, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,35, Ecuador, <=50K
64, Private, HS-grad, Divorced, Farming-fishing, Unmarried, Black, Female,0,0,40, Jamaica, <=50K
27, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, Trinadad&Tobago, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,3103,0,45, China, <=50K
