25, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,14083,0,50, Dominican-Republic, >50K
20, Private, HS-grad, Divorced, Sales, Not-in-family, Other, Male,0,0,40, Iran, <=50K
35, Private, Assoc-voc, Divorced, Adm-clerical, Other-relative, Other, Female,0,0,40, England, <=50K
57, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, El-Salvador, <=50K
46, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, <=50K
31, Private, 11th, Married-civ-spouse, Sales, Husband, Black, Female,0,0,60, Ecuador, >50K
52, Private, Masters, Divorced, Machine-op-inspct, Not-in-family, White, Female,14518,0,50, Ecuador, <=50K
21, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,45, Yugoslavia, <=50K
52, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,60, Dominican-Republic, >50K
51, Local-gov, HS-grad, Separated, Exec-managerial, Own-child, Black, Male,0,0,38, Scotland, <=50K
32, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Scotland, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,50, Ireland, >50K
24, Private, Bachelors, Never-married, Tech-support, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Nicaragua, <=50K
21, Private, Some-college, Never-married, Priv-house-serv, Own-child, Other, Female,0,0,15, Canada, <=50K
49, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
43, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Poland, <=50K
63, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,1860,40, Vietnam, >50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, China, >50K
31, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,40, Yugoslavia, <=50K
39, Self-emp-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,50, Jamaica, >50K
44, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,0,0,65, Yugoslavia, <=50K
32, Federal-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,35, Ecuador, >50K
63, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, Black, Female,0,0,40, Italy, <=50K
26, Private, Some-college, Divorced, Sales, Own-child, White, Female,0,0,40, Trinadad&Tobago, <=50K
35, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,4064,0,45, China, <=50K
27, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,35, El-Salvador, <=50K
18, Private, 9th, Never-married, Sales, Own-child, Black, Female,0,0,30, Dominican-Republic, <=50K
37, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Germany, <=50K
37, Private, HS-grad, Married-spouse-absent, Craft-repair, Husband, Black, Male,0,0,50, Cambodia, <=50K
31, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,43, Canada, >50K
