26, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Male,13615,0,50, United-States, >50K
21, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, >50K
36, Private, Bachelors, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
57, Private, HS-grad, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,0,40, United-States, >50K
47, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
32, Private, 5th-6th, Married-spouse-absent, Sales, Husband, White, Female,0,0,60, United-States, >50K
53, Private, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,15024,0,50, United-States, >50K
20, Private, Assoc-acdm, Divorced, Craft-repair, Wife, White, Male,0,0,46, United-States, <=50K
54, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
51, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Private, 7th-8th, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,50, United-States, <=50K
24, Self-emp-inc, Bachelors, Never-married, Tech-support, Husband, White, Female,0,0,45, United-States, >50K
23, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,15, Germany, <=50K
50, Self-emp-not-inc, Masters, Divorced, Sales, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
63, Self-emp-inc, Doctorate, Married-civ-spouse, Transport-moving, Not-in-family, White, Female,0,1867,40, United-States, <=50K
40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
32, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
45, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,71, United-States, <=50K
32, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,36, United-States, <=50K
63, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,7687,0,45, United-States, >50K
28, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Female,0,0,37, United-States, <=50K
18, Private, 12th, Never-married, Protective-serv, Own-child, White, Male,0,0,35, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Separated, Craft-repair, Husband, White, Female,0,0,50, India, <=50K
32, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, Italy, >50K
30, State-gov, Some-college, Never-married, Other-service, Wife, White, Female,0,0,6, United-States, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, Other, Male,0,0,50, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
19, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
45, State-gov, HS-grad, Married-spouse-absent, Prof-specialty, Not-in-family, Black, Male,0,0,48, United-States, <=50K
55, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
32, Self-emp-inc, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,38, United-States, <=50K
