46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,5886,0,50, United-States, >50K
27, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, >50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
48, Private, 7th-8th, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,60, United-States, >50K
50, Private, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,7077,0,60, United-States, >50K
30, Private, Assoc-acdm, Divorced, Craft-repair, Wife, White, Male,0,0,40, Vietnam, <=50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, >50K
39, Local-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private, 12th, Never-married, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,54, United-States, >50K
33, Self-emp-inc, Bachelors, Married-spouse-absent, Sales, Husband, White, Female,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,36, Germany, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,40, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Transport-moving, Own-child, White, Female,0,0,50, United-States, <=50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, >50K
46, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,54, United-States, >50K
51, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,70, United-States, <=50K
31, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, Other, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Exec-managerial, Other-relative, White, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
44, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,6848,0,45, United-States, >50K
28, Private, Assoc-voc, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
22, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,35, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
45, Private, HS-grad, Widowed, Craft-repair, Husband, White, Female,0,0,50, Guatemala, <=50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, Haiti, >50K
22, State-gov, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,35, United-States, <=50K
23, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,38, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,50, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
29, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
44, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,48, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
29, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, >50K
42, Local-gov, Assoc-voc, Never-married, Adm-clerical, Other-relative, White, Male,0,0,47, United-States, >50K
28, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,50, United-States, >50K
41, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
25, Private, 11th, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, >50K
41, Federal-gov, 7th-8th, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, >50K
39, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
36, Local-gov, HS-grad, Separated, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
50, Self-emp-not-inc, Bachelors, Widowed, Prof-specialty, Unmarried, White, Male,0,0,70, United-States, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States, <=50K
28, Private, Masters, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, Vietnam, <=50K
47, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, >50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Self-emp-inc, Assoc-voc, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Other-relative, White, Female,0,0,40, United-States, <=50K
44, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,56, United-States, >50K
37, Self-emp-inc, 10th, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,40, United-States, >50K
