25, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,11887,0,50, India, >50K
21, Private, HS-grad, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
58, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Laos, <=50K
48, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
32, Private, 11th, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Mexico, >50K
52, Private, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,15024,0,50, Japan, >50K
21, Private, HS-grad, Divorced, Craft-repair, Unmarried, Other, Male,0,0,45, Yugoslavia, <=50K
53, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Italy, >50K
52, Local-gov, Masters, Never-married, Priv-house-serv, Not-in-family, White, Male,0,0,38, United-States, >50K
33, Private, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,50, United-States, >50K
24, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,45, United-States, >50K
22, Private, Some-college, Never-married, Priv-house-serv, Own-child, White, Female,0,0,12, Columbia, <=50K
50, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, Hungary, <=50K
44, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
64, Private, Doctorate, Married-civ-spouse, Tech-support, Husband, White, Female,0,1887,40, United-States, >50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, France, <=50K
32, Private, HS-grad, Married-spouse-absent, Adm-clerical, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
40, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,50, United-States, >50K
45, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,66, Vietnam, <=50K
33, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,33, Ireland, <=50K
64, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
27, Private, Some-college, Divorced, Protective-serv, Unmarried, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,4870,0,45, England, <=50K
28, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,35, Mexico, <=50K
18, Private, Bachelors, Never-married, Sales, Own-child, White, Male,0,0,30, Italy, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Own-child, White, Female,0,0,40, Portugal, <=50K
38, Private, HS-grad, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,50, Columbia, <=50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Columbia, >50K
28, State-gov, Some-college, Never-married, Prof-specialty, Wife, Other, Female,0,0,5, Yugoslavia, <=50K
19, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,30, United-States, <=50K
36, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Laos, <=50K
47, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
19, Private, HS-grad, Never-married, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, <=50K
45, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,45, Japan, >50K
56, Self-emp-inc, Doctorate, Married-civ-spouse, Other-service, Wife, Other, Female,0,0,40, Iran, <=50K
32, State-gov, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,0,0,35, United-States, <=50K
34, Local-gov, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,0,50, United-States, <=50K
28, Private, Doctorate, Never-married, Prof-specialty, Own-child, White, Male,0,1671,40, United-States, <=50K
58, Private, Some-college, Divorced, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Portugal, <=50K
22, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,38, United-States, <=50K
58, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
39, Federal-gov, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,45, Outlying-US(Guam-USVI-etc), <=50K
45, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
