26, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,13901,0,50, Greece, >50K
21, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Female,0,0,40, Iran, <=50K
58, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Hong, <=50K
48, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, 7th-8th, Married-civ-spouse, Sales, Husband, White, Female,0,0,60, Hungary, >50K
53, Private, Masters, Divorced, Other-service, Not-in-family, White, Female,14133,0,50, Haiti, <=50K
21, Private, Assoc-voc, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,45, Yugoslavia, <=50K
53, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Guatemala, >50K
52, Local-gov, Masters, Married-spouse-absent, Exec-managerial, Husband, White, Male,0,0,37, United-States, <=50K
33, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,50, United-States, >50K
24, Private, Bachelors, Never-married, Tech-support, Not-in-family, Other, Female,0,0,45, United-States, <=50K
22, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,14, China, <=50K
50, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Germany, <=50K
44, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
63, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,1848,40, United-States, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Ecuador, >50K
32, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
39, Self-emp-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,50, United-States, >50K
44, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,65, Yugoslavia, <=50K
33, Federal-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,35, Haiti, <=50K
64, Private, HS-grad, Divorced, Farming-fishing, Unmarried, Other, Female,0,0,40, United-States, <=50K
27, Private, Some-college, Divorced, Protective-serv, Own-child, White, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,3295,0,45, Dominican-Republic, <=50K
28, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,35, Hungary, <=50K
18, Private, 9th, Never-married, Sales, Own-child, White, Male,0,0,30, Guatemala, <=50K
38, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,40, Japan, <=50K
38, Private, HS-grad, Never-married, Craft-repair, Husband, White, Female,0,0,50, China, <=50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,42, China, >50K
28, State-gov, Some-college, Never-married, Other-service, Wife, Black, Female,0,0,4, Yugoslavia, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Hong, <=50K
47, Private, Some-college, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
19, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
44, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,45, Honduras, <=50K
56, Private, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, Other, Female,0,0,40, Greece, <=50K
32, Private, Some-college, Divorced, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
34, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, White, Male,0,0,50, United-States, <=50K
28, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,1670,40, United-States, <=50K
58, Private, Some-college, Divorced, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Italy, <=50K
22, Private, 7th-8th, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,38, United-States, <=50K
58, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
39, Federal-gov, 9th, Married-civ-spouse, Prof-specialty, Own-child, Black, Male,0,0,45, Iran, <=50K
45, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, South, >50K
35, Federal-gov, HS-grad, Separated, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
34, Self-emp-not-inc, Assoc-voc, Separated, Prof-specialty, Unmarried, White, Male,0,0,72, United-States, <=50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,60, Scotland, >50K
23, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
45, Private, Assoc-voc, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,50, France, <=50K
27, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Haiti, <=50K
36, Private, Assoc-voc, Never-married, Other-service, Unmarried, Other, Female,0,0,45, Trinadad&Tobago, <=50K
27, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
26, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Germany, >50K
30, Private, 10th, Never-married, Transport-moving, Not-in-family, White, Female,0,0,50, United-States, <=50K
23, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
29, Private, Prof-school, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
47, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
35, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Haiti, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,60, Columbia, >50K
55, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,8, Yugoslavia, >50K
22, Private, Some-college, Never-married, Protective-serv, Own-child, Asian-Pac-Islander, Female,0,0,15, United-States, >50K
61, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,30, Laos, <=50K
41, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Peru, <=50K
21, Private, Assoc-acdm, Never-married, Farming-fishing, Not-in-family, Black, Female,0,0,44, United-States, <=50K
44, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,38, United-States, <=50K
48, Private, 9th, Married-spouse-absent, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,30, Jamaica, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Japan, <=50K
40, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Other-relative, Black, Male,0,2436,45, United-States, >50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,30, United-States, <=50K
37, Local-gov, 5th-6th, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
40, Private, HS-grad, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Male,14245,0,40, United-States, <=50K
70, Private, HS-grad, Divorced, Other-service, Wife, White, Female,0,0,15, Haiti, <=50K
40, Private, Bachelors, Divorced, Craft-repair, Not-in-family, Black, Male,1632,0,43, United-States, <=50K
19, Private, HS-grad, Never-married, Transport-moving, Own-child, Black, Male,0,0,50, Germany, <=50K
48, Private, Bachelors, Never-married, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,40, Japan, <=50K
39, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
45, Local-gov, 9th, Never-married, Transport-moving, Not-in-family, Black, Female,0,0,40, Columbia, <=50K
30, Private, Some-college, Never-married, Exec-managerial, Own-child, Black, Female,0,0,40, Greece, <=50K
62, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Portugal, <=50K
37, Private, Masters, Married-civ-spouse, Exec-managerial, Wife, Black, Female,0,0,30, United-States, >50K
37, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Black, Male,0,0,40, United-States, <=50K
21, Private, Assoc-voc, Never-married, Sales, Not-in-family, White, Male,3435,0,50, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,55, El-Salvador, <=50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,70, Dominican-Republic, <=50K
26, Private, Some-college, Never-married, Farming-fishing, Unmarried, White, Female,0,0,40, South, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K
36, Local-gov, HS-grad, Divorced, Sales, Unmarried, Black, Male,0,0,40, Nicaragua, <=50K
38, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Nicaragua, <=50K
17, Private, 10th, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,15, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, Asian-Pac-Islander, Female,6799,0,45, Cuba, <=50K
34, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, Hungary, <=50K
31, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,60, United-States, <=50K
