value,frequency,column
 Private,0.7397322723693481,work_class
 Self-emp-not-inc,0.08247337229060467,work_class
 Local-gov,0.06896265904098803,work_class
 State-gov,0.04185834473040739,work_class
 Self-emp-inc,0.034729992954536035,work_class
 Federal-gov,0.031787475651705414,work_class
 Without-pay,0.00045588296241037753,work_class
 HS-grad,0.32666086451987236,education
 Some-college,0.21961125616478097,education
 Bachelors,0.16594139831737742,education
 Masters,0.054125740809813916,education
 Assoc-voc,0.044262091259480295,education
 11th,0.03572464669070413,education
 Assoc-acdm,0.0329479050105682,education
 10th,0.027518753367317336,education
 Prof-school,0.018525425836130798,education
 7th-8th,0.018359650213436114,education
 9th,0.01570724025032119,education
 12th,0.012350283890753865,education
 Doctorate,0.012267396079406523,education
 5th-6th,0.009946537361680965,education
 1st-4th,0.004517385718430105,education
 Preschool,0.0015334245099258154,education
 Married-civ-spouse,0.46292842637490156,marital_status
 Never-married,0.32537610344398854,marital_status
 Divorced,0.14012184508268058,marital_status
 Separated,0.0312487048779477,marital_status
 Widowed,0.027187202121927972,marital_status
 Married-spouse-absent,0.012433171702101207,marital_status
 Married-AF-spouse,0.0007045463964524016,marital_status
 Craft-repair,0.1357287910812715,occupation
 Prof-specialty,0.13295204940113556,occupation
 Exec-managerial,0.13058974677773633,occupation
 Adm-clerical,0.1244146048323594,occupation
 Sales,0.11852957022669816,occupation
 Other-service,0.1075883791288491,occupation
 Machine-op-inspct,0.06469393675659994,occupation
 Transport-moving,0.05184632599776203,occupation
 Handlers-cleaners,0.044883749844585354,occupation
 Farming-fishing,0.03257490985950516,occupation
 Tech-support,0.030295495047453273,occupation
 Protective-serv,0.020680508931161672,occupation
 Priv-house-serv,0.004890380869493141,occupation
 Armed-Forces,0.0003315512453893655,occupation
 Husband,0.4096315636785611,relationship
 Not-in-family,0.2591901860831365,relationship
 Own-child,0.14990260682166687,relationship
 Unmarried,0.10572340337353392,relationship
 Wife,0.04687305731692155,relationship
 Other-relative,0.028679182726180114,relationship
 White,0.8599195988229931,race
 Black,0.09283434870902234,race
 Asian-Pac-Islander,0.029922499896390235,race
 Amer-Indian-Eskimo,0.00973931783331261,race
 Other,0.007584234738281736,race
 Male,0.6748725599900535,sex
 Female,0.32512744000994653,sex
 United-States,0.9128434663682705,native_country
 Mexico,0.01989307472336193,native_country
 Philippines,0.006382361473745286,native_country
 Germany,0.004351610095735422,native_country
 Canada,0.0036470636992830202,native_country
 El-Salvador,0.0033984002652409965,native_country
 Puerto-Rico,0.0033569563595673255,native_country
 India,0.003315512453893655,native_country
 Cuba,0.0030668490198516307,native_country
 Jamaica,0.002486634340420241,native_country
 Italy,0.0024451904347465706,native_country
 England,0.0024451904347465706,native_country
 South,0.0024037465290728996,native_country
 Dominican-Republic,0.002279414812051888,native_country
 China,0.002279414812051888,native_country
 Guatemala,0.0021965270007045464,native_country
 Vietnam,0.0019893074723361928,native_country
 Japan,0.0019893074723361928,native_country
 Columbia,0.0017820879439678396,native_country
 Poland,0.0016992001326204982,native_country
 Taiwan,0.0014090927929048033,native_country
 Haiti,0.001326204981557462,native_country
 Iran,0.0012018732645364498,native_country
 Portugal,0.0011604293588627793,native_country
 Peru,0.0010360976418417672,native_country
 Greece,0.0009946537361680964,native_country
 Ireland,0.0009532098304944258,native_country
 Nicaragua,0.0008703220191470844,native_country
 France,0.0008703220191470844,native_country
 Ecuador,0.0007874342077997431,native_country
 Hong,0.000663102490778731,native_country
 Cambodia,0.0005802146794313896,native_country
 Thailand,0.000538770773757719,native_country
 Outlying-US(Guam-USVI-etc),0.000538770773757719,native_country
 Trinadad&Tobago,0.0004973268680840482,native_country
 Laos,0.0004973268680840482,native_country
 Honduras,0.0004973268680840482,native_country
 Yugoslavia,0.00045588296241037753,native_country
 Scotland,0.00041443905673670687,native_country
 Hungary,0.00041443905673670687,native_country
 Holand-Netherlands,4.1443905673670685e-05,native_country
 <=50K,0.7513365659579759,income
 >50K,0.24866343404202412,income
