26, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,8895,0,50, Dominican-Republic, >50K
21, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, Jamaica, <=50K
36, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, France, <=50K
58, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, England, <=50K
47, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,40, United-States, >50K
32, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, Black, Female,0,0,60, England, >50K
54, Private, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,14083,0,50, El-Salvador, >50K
21, Private, HS-grad, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,45, Yugoslavia, <=50K
53, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,60, Ecuador, >50K
52, Federal-gov, Some-college, Widowed, Prof-specialty, Not-in-family, Black, Male,0,0,35, United-States, <=50K
33, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,40, Trinadad&Tobago, <=50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,50, Japan, >50K
24, Private, HS-grad, Never-married, Tech-support, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Philippines, <=50K
22, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,12, Canada, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
44, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,40, Scotland, <=50K
64, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,1858,40, Vietnam, >50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Columbia, <=50K
32, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,40, Yugoslavia, <=50K
40, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,50, Mexico, >50K
45, Private, HS-grad, Never-married, Exec-managerial, Husband, Black, Male,0,0,65, Yugoslavia, <=50K
33, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,33, El-Salvador, <=50K
64, Private, Masters, Married-civ-spouse, Handlers-cleaners, Unmarried, Black, Female,0,0,40, Mexico, <=50K
27, Private, Masters, Divorced, Priv-house-serv, Unmarried, White, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,4096,0,45, Columbia, <=50K
28, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,35, England, <=50K
18, Private, Bachelors, Never-married, Sales, Own-child, Other, Male,0,0,30, Ecuador, <=50K
38, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Greece, <=50K
38, Private, HS-grad, Separated, Craft-repair, Husband, Black, Female,0,0,50, Canada, <=50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
28, State-gov, Some-college, Never-married, Prof-specialty, Wife, Asian-Pac-Islander, Female,0,0,5, Yugoslavia, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,30, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Female,0,0,50, Thailand, <=50K
