25, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,10344,0,50, Ecuador, >50K
22, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, Japan, >50K
38, Private, Bachelors, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,40, France, <=50K
60, Private, HS-grad, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,0,40, England, <=50K
49, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, United-States, <=50K
34, Private, 7th-8th, Married-civ-spouse, Sales, Husband, Black, Female,0,0,60, England, >50K
56, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Female,14083,0,50, El-Salvador, >50K
22, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,45, Yugoslavia, <=50K
55, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,60, Ecuador, >50K
53, Local-gov, HS-grad, Separated, Craft-repair, Not-in-family, Black, Male,0,0,38, United-States, <=50K
35, Private, 5th-6th, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Laos, <=50K
25, Private, Bachelors, Never-married, Tech-support, Husband, Asian-Pac-Islander, Female,0,0,45, Poland, >50K
23, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,12, Canada, <=50K
51, Self-emp-not-inc, HS-grad, Divorced, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
45, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Taiwan, <=50K
63, Self-emp-inc, Bachelors, Divorced, Transport-moving, Not-in-family, Other, Female,0,1909,40, Vietnam, >50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Columbia, >50K
34, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Yugoslavia, >50K
41, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,50, Nicaragua, >50K
46, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,0,0,70, Yugoslavia, <=50K
35, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,30, El-Salvador, <=50K
66, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,40, Nicaragua, <=50K
28, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,5114,0,45, Columbia, >50K
30, Private, Bachelors, Married-spouse-absent, Exec-managerial, Not-in-family, Black, Female,0,0,35, England, <=50K
18, Private, Bachelors, Never-married, Prof-specialty, Own-child, Other, Male,0,0,30, Ecuador, <=50K
40, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Black, Female,0,0,40, Guatemala, <=50K
39, Private, HS-grad, Widowed, Craft-repair, Husband, Black, Female,0,0,50, Canada, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,42, Canada, >50K
31, State-gov, Some-college, Never-married, Machine-op-inspct, Wife, Asian-Pac-Islander, Female,0,0,7, Yugoslavia, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,30, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, England, <=50K
48, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,50, Honduras, <=50K
19, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,50, Honduras, <=50K
46, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, El-Salvador, <=50K
57, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
34, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Other-relative, White, Female,0,0,35, Poland, <=50K
36, Local-gov, Assoc-voc, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,50, Outlying-US(Guam-USVI-etc), >50K
30, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,1902,40, Outlying-US(Guam-USVI-etc), >50K
60, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Greece, >50K
23, Private, Assoc-acdm, Never-married, Handlers-cleaners, Husband, White, Male,0,0,38, Philippines, <=50K
59, Private, 9th, Divorced, Machine-op-inspct, Not-in-family, Other, Male,0,0,40, Taiwan, >50K
40, Federal-gov, 7th-8th, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,45, Germany, <=50K
47, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,40, Iran, <=50K
37, Local-gov, HS-grad, Separated, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Poland, <=50K
