34, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,7298,0,53, Cuba, >50K
23, Private, HS-grad, Divorced, Sales, Husband, Other, Male,0,0,40, Iran, >50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Female,0,0,40, England, <=50K
59, Private, HS-grad, Divorced, Other-service, Husband, Other, Male,0,0,40, El-Salvador, >50K
47, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, United-States, <=50K
28, Private, 5th-6th, Never-married, Sales, Husband, Black, Female,0,0,60, El-Salvador, >50K
52, Private, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,7687,0,54, Ecuador, >50K
24, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,48, Yugoslavia, <=50K
54, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,60, Dominican-Republic, >50K
55, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,30, South, <=50K
34, Private, 5th-6th, Never-married, Machine-op-inspct, Husband, White, Female,0,0,40, South, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Ireland, <=50K
25, Private, Bachelors, Never-married, Tech-support, Husband, Asian-Pac-Islander, Female,0,0,45, Nicaragua, >50K
26, Private, Some-college, Never-married, Other-service, Own-child, Other, Female,0,0,10, Canada, <=50K
52, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
40, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Poland, <=50K
47, Private, Bachelors, Divorced, Transport-moving, Own-child, Black, Female,0,0,40, Vietnam, <=50K
38, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Columbia, >50K
33, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Other, Male,0,0,40, Yugoslavia, <=50K
38, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Japan, >50K
43, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,0,0,74, Yugoslavia, <=50K
36, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,26, Ecuador, <=50K
61, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,40, Jamaica, >50K
29, Private, Some-college, Divorced, Protective-serv, Own-child, White, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,7687,0,50, China, >50K
32, Private, Bachelors, Married-spouse-absent, Exec-managerial, Not-in-family, Black, Female,0,0,30, El-Salvador, <=50K
19, Private, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, Black, Male,0,0,36, Dominican-Republic, <=50K
36, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Germany, <=50K
36, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,45, Cambodia, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
29, State-gov, Some-college, Never-married, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Female,0,0,4, Yugoslavia, <=50K
20, Private, Some-college, Never-married, Exec-managerial, Own-child, Black, Male,0,0,38, Thailand, <=50K
35, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Puerto-Rico, <=50K
34, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, El-Salvador, <=50K
48, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,50, Guatemala, <=50K
23, Private, Bachelors, Never-married, Sales, Husband, Other, Male,0,0,60, Guatemala, <=50K
44, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,42, Ecuador, <=50K
58, Private, Doctorate, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
34, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,30, Nicaragua, <=50K
32, Local-gov, Assoc-voc, Never-married, Adm-clerical, Own-child, Black, Male,0,0,48, Japan, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,40, Japan, >50K
59, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, France, >50K
23, Private, 7th-8th, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, Mexico, <=50K
59, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, Poland, >50K
37, Federal-gov, 5th-6th, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,40, England, <=50K
43, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,40, Hong, <=50K
35, Federal-gov, HS-grad, Separated, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Nicaragua, <=50K
28, Self-emp-inc, Bachelors, Widowed, Prof-specialty, Unmarried, Black, Male,0,0,76, Japan, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, Honduras, <=50K
23, Private, Prof-school, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,0,0,40, Yugoslavia, <=50K
45, Private, Assoc-acdm, Divorced, Exec-managerial, Husband, Other, Male,0,0,50, Cuba, >50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, Ecuador, <=50K
37, Self-emp-inc, Assoc-voc, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, India, <=50K
27, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
25, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Husband, Black, Male,0,0,65, Cuba, >50K
27, Private, 10th, Never-married, Tech-support, Not-in-family, Other, Female,0,0,50, Jamaica, <=50K
24, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, >50K
32, Private, Masters, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, Taiwan, >50K
47, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, Thailand, <=50K
35, Private, 11th, Married-civ-spouse, Adm-clerical, Own-child, Other, Female,0,0,40, Ecuador, <=50K
41, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,57, Canada, >50K
55, Private, HS-grad, Divorced, Adm-clerical, Husband, Other, Female,0,0,15, Yugoslavia, >50K
26, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,10, Taiwan, <=50K
63, Private, Masters, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,25, Greece, <=50K
37, Private, HS-grad, Divorced, Other-service, Own-child, White, Male,0,0,40, Poland, <=50K
22, Private, HS-grad, Never-married, Transport-moving, Husband, White, Male,0,0,40, Guatemala, >50K
24, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,45, Puerto-Rico, <=50K
44, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,30, Jamaica, <=50K
49, Private, 7th-8th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, India, <=50K
20, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,38, France, <=50K
33, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,40, Germany, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,54, Ireland, >50K
17, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,30, Japan, <=50K
36, Private, 11th, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
43, Private, Doctorate, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,7358,0,40, Jamaica, <=50K
63, Private, HS-grad, Divorced, Exec-managerial, Wife, Other, Female,0,0,20, Ecuador, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,7687,0,50, Taiwan, >50K
23, Private, HS-grad, Never-married, Transport-moving, Own-child, Amer-Indian-Eskimo, Male,0,0,57, Cuba, <=50K
49, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
37, Private, 9th, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, South, >50K
42, Local-gov, 9th, Married-civ-spouse, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
32, Private, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
60, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0,0,40, Honduras, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,20, Ireland, >50K
35, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
33, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,7298,0,59, Trinadad&Tobago, >50K
38, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,0,54, Columbia, <=50K
53, Private, Doctorate, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,80, China, >50K
27, Private, Some-college, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,40, Hong, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
35, Local-gov, HS-grad, Divorced, Tech-support, Own-child, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
38, State-gov, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,40, Guatemala, <=50K
17, Private, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Trinadad&Tobago, <=50K
48, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Wife, Amer-Indian-Eskimo, Female,7687,0,50, Canada, <=50K
34, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,40, England, <=50K
27, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, Other, Female,0,0,65, Taiwan, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
