26, Private, Bachelors, Divorced, Craft-repair, Wife, Amer-Indian-Eskimo, Male,9180,0,50, Dominican-Republic, >50K
21, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Other, Male,0,0,40, Ireland, >50K
36, Private, Bachelors, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,40, England, <=50K
58, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,40, El-Salvador, <=50K
48, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, <=50K
32, Private, 7th-8th, Married-spouse-absent, Sales, Husband, Black, Female,0,0,60, El-Salvador, >50K
52, Private, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Other, Female,14083,0,50, Ecuador, >50K
21, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,45, Yugoslavia, <=50K
53, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,60, Dominican-Republic, >50K
51, Local-gov, HS-grad, Separated, Craft-repair, Not-in-family, Black, Male,0,0,35, Scotland, <=50K
33, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, Scotland, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Ireland, <=50K
24, Private, Bachelors, Never-married, Tech-support, Husband, Asian-Pac-Islander, Female,0,0,45, Nicaragua, >50K
22, Private, Some-college, Never-married, Other-service, Own-child, Other, Female,0,0,12, Cambodia, <=50K
50, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
44, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Poland, <=50K
64, Private, Doctorate, Married-civ-spouse, Transport-moving, Not-in-family, Black, Female,0,1972,40, Vietnam, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Columbia, >50K
