35, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, <=50K
50, Private, HS-grad, Divorced, Sales, Husband, White, Male,3885,0,45, India, >50K
50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, England, <=50K
47, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, El-Salvador, >50K
41, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, >50K
29, Private, 12th, Married-civ-spouse, Protective-serv, Husband, Black, Female,0,0,40, El-Salvador, >50K
49, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, Other, Female,0,0,40, Ecuador, <=50K
48, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, >50K
23, Private, HS-grad, Never-married, Farming-fishing, Own-child, Black, Male,0,0,60, Dominican-Republic, <=50K
27, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Scotland, <=50K
59, Private, 7th-8th, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Scotland, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,48, Ireland, <=50K
34, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Mexico, >50K
50, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,40, Canada, >50K
19, Private, Some-college, Never-married, Protective-serv, Own-child, Amer-Indian-Eskimo, Male,82,0,40, Dominican-Republic, <=50K
18, Private, Some-college, Never-married, Farming-fishing, Own-child, Black, Female,0,0,25, Philippines, <=50K
32, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Wife, Black, Female,99999,0,40, Vietnam, >50K
52, Self-emp-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, Columbia, <=50K
39, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Other, Male,99999,0,70, Yugoslavia, >50K
38, Private, Assoc-voc, Married-civ-spouse, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,38, Jamaica, <=50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Yugoslavia, >50K
32, Federal-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,48, Ecuador, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,70, Italy, <=50K
23, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,65, Trinadad&Tobago, <=50K
