36, Private, HS-grad, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,48, United-States, <=50K
50, Private, HS-grad, Divorced, Sales, Husband, White, Male,4686,0,40, United-States, >50K
51, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Other-relative, White, Female,0,0,40, United-States, <=50K
48, Private, HS-grad, Divorced, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, 5th-6th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
49, Private, Assoc-voc, Divorced, Craft-repair, Wife, White, Male,0,0,40, Vietnam, <=50K
24, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,55, United-States, <=50K
28, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
59, Private, 5th-6th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,45, United-States, <=50K
35, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, United-States, >50K
51, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, Germany, <=50K
19, Private, Prof-school, Never-married, Protective-serv, Own-child, Other, Male,2500,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Craft-repair, Other-relative, White, Female,0,0,20, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Sales, Wife, White, Female,99999,0,40, United-States, >50K
53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Poland, >50K
37, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,65, United-States, >50K
39, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, >50K
47, Private, Bachelors, Widowed, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
33, Federal-gov, Doctorate, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,43, United-States, <=50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,65, United-States, >50K
24, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,60, United-States, <=50K
30, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, Mexico, <=50K
49, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
58, Private, Assoc-voc, Divorced, Prof-specialty, Own-child, White, Male,0,0,40, United-States, >50K
27, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, Germany, <=50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Greece, >50K
44, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,25, United-States, <=50K
32, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,20, United-States, <=50K
57, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, Black, Female,0,0,40, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,35, United-States, <=50K
29, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,54, United-States, <=50K
28, State-gov, HS-grad, Never-married, Sales, Not-in-family, Other, Male,0,0,73, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,48, United-States, <=50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
42, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, White, Male,7687,0,35, United-States, >50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,54, United-States, >50K
54, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,40, United-States, >50K
27, Private, Assoc-acdm, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
48, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, >50K
68, Federal-gov, 1st-4th, Divorced, Other-service, Wife, White, Male,0,0,20, United-States, <=50K
47, Local-gov, Bachelors, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
41, Federal-gov, HS-grad, Separated, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
22, Private, Assoc-voc, Separated, Other-service, Wife, White, Male,0,0,48, United-States, <=50K
47, Self-emp-not-inc, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,63428,0,60, United-States, >50K
54, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Husband, White, Female,0,0,40, Vietnam, <=50K
37, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,35, United-States, >50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
50, Self-emp-inc, Assoc-acdm, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, State-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
31, Self-emp-inc, 10th, Never-married, Transport-moving, Not-in-family, White, Female,0,0,54, United-States, <=50K
27, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, >50K
47, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
33, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Private, 11th, Married-civ-spouse, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,13, India, <=50K
33, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,0,0,48, Yugoslavia, >50K
55, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, United-States, >50K
40, Private, HS-grad, Never-married, Other-service, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,1887,30, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
65, Private, 7th-8th, Widowed, Exec-managerial, Husband, White, Female,0,0,20, United-States, <=50K
44, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
38, Private, 9th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,4580,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Female,0,0,30, United-States, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,15, United-States, <=50K
33, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
24, Private, 11th, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,40, Puerto-Rico, <=50K
64, Private, Doctorate, Divorced, Adm-clerical, Wife, Black, Male,0,0,30, United-States, <=50K
27, Private, Doctorate, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, <=50K
26, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
52, Private, Bachelors, Never-married, Sales, Husband, Asian-Pac-Islander, Female,0,0,58, United-States, >50K
33, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, >50K
25, Private, Assoc-acdm, Never-married, Transport-moving, Own-child, White, Female,0,0,40, Japan, <=50K
41, Private, Some-college, Separated, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
52, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,42, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Female,0,1887,40, United-States, >50K
20, Private, Bachelors, Divorced, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
51, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, United-States, <=50K
41, Private, HS-grad, Divorced, Tech-support, Husband, White, Female,0,0,40, Poland, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Black, Male,0,0,40, Mexico, <=50K
21, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,10, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Male,0,0,25, United-States, <=50K
40, State-gov, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
74, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,25, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, Black, Female,0,0,40, Mexico, <=50K
48, Self-emp-inc, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,1902,40, United-States, >50K
20, Private, HS-grad, Married-spouse-absent, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, Masters, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Never-married, Transport-moving, Husband, White, Female,0,0,40, United-States, >50K
44, Local-gov, 9th, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Mexico, >50K
25, Local-gov, 12th, Married-civ-spouse, Sales, Other-relative, White, Male,0,0,40, United-States, <=50K
33, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, >50K
25, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,25, United-States, <=50K
31, Private, Masters, Divorced, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
23, Self-emp-inc, Some-college, Never-married, Transport-moving, Husband, White, Male,12001,0,54, United-States, >50K
48, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,48, United-States, <=50K
17, State-gov, 12th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Separated, Adm-clerical, Unmarried, White, Male,7298,0,48, United-States, >50K
33, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
57, Without-pay, Masters, Widowed, Prof-specialty, Husband, White, Male,0,0,44, United-States, <=50K
23, Private, Assoc-voc, Divorced, Other-service, Not-in-family, White, Male,0,0,20, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, Private, Some-college, Divorced, Exec-managerial, Husband, White, Female,0,1902,40, United-States, <=50K
33, Private, Masters, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Separated, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
63, Private, Bachelors, Widowed, Sales, Husband, White, Male,0,0,40, United-States, <=50K
46, Self-emp-not-inc, Masters, Married-civ-spouse, Other-service, Unmarried, White, Male,0,0,35, United-States, <=50K
48, Private, Masters, Married-civ-spouse, Tech-support, Unmarried, Other, Male,0,0,40, United-States, <=50K
79, Private, 1st-4th, Widowed, Other-service, Not-in-family, Black, Female,0,0,10, United-States, <=50K
50, Self-emp-not-inc, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,0,80, Philippines, >50K
30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Craft-repair, Other-relative, White, Female,0,0,35, United-States, <=50K
25, Local-gov, 12th, Never-married, Machine-op-inspct, Wife, White, Male,0,1902,40, United-States, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States, >50K
18, State-gov, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, 10th, Never-married, Prof-specialty, Own-child, Black, Female,0,0,20, United-States, <=50K
38, Local-gov, Masters, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, >50K
39, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,30, United-States, <=50K
21, Self-emp-inc, Some-college, Never-married, Other-service, Not-in-family, Black, Female,0,0,30, United-States, <=50K
