35, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,50, Hong, <=50K
49, Private, HS-grad, Divorced, Sales, Husband, White, Male,3726,0,45, United-States, >50K
50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
47, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Japan, <=50K
41, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
29, Private, 12th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Japan, >50K
49, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, Ireland, <=50K
48, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Unmarried, Other, Male,0,0,40, Yugoslavia, >50K
23, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Female,0,0,60, Iran, <=50K
27, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
59, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,48, United-States, <=50K
34, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
50, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Columbia, >50K
19, Private, Masters, Never-married, Prof-specialty, Own-child, Black, Male,2192,0,40, Hungary, <=50K
18, Private, Some-college, Never-married, Farming-fishing, Own-child, White, Female,0,0,25, United-States, <=50K
32, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Own-child, White, Female,99999,0,40, United-States, >50K
52, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,40, France, <=50K
38, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,70, Vietnam, >50K
37, Private, Bachelors, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Vietnam, <=50K
32, Federal-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,48, Ireland, <=50K
44, Self-emp-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,70, United-States, >50K
23, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,65, United-States, <=50K
29, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, England, <=50K
48, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Laos, >50K
57, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, India, >50K
26, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Puerto-Rico, <=50K
44, Private, Doctorate, Separated, Craft-repair, Husband, White, Male,0,0,40, Columbia, <=50K
48, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Columbia, >50K
43, State-gov, Some-college, Separated, Farming-fishing, Wife, Black, Female,0,0,30, Yugoslavia, <=50K
31, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,20, United-States, <=50K
56, Private, Prof-school, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
49, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,38, Japan, <=50K
28, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,60, United-States, <=50K
27, State-gov, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,80, Japan, <=50K
38, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,50, India, <=50K
