36, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Germany, <=50K
51, Private, HS-grad, Divorced, Sales, Husband, White, Male,4391,0,45, United-States, >50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, India, <=50K
49, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Hong, <=50K
42, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
30, Private, 5th-6th, Never-married, Protective-serv, Husband, White, Female,0,0,40, Honduras, >50K
50, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, Haiti, <=50K
49, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Wife, Black, Male,0,0,40, Yugoslavia, <=50K
23, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Other, Female,0,0,60, Guatemala, <=50K
28, Local-gov, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
60, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, United-States, <=50K
35, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, Other, Female,0,0,40, United-States, >50K
51, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, China, >50K
19, Private, Masters, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,1528,0,40, Germany, <=50K
18, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,24, United-States, <=50K
32, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Wife, White, Female,99999,0,40, United-States, >50K
53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Ecuador, >50K
40, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,70, Vietnam, >50K
39, Private, Bachelors, Married-civ-spouse, Other-service, Unmarried, Black, Female,0,0,38, United-States, <=50K
47, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,40, Yugoslavia, <=50K
33, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Haiti, <=50K
45, Self-emp-inc, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,70, United-States, >50K
23, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,63, United-States, <=50K
30, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, Dominican-Republic, <=50K
49, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Hungary, >50K
58, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Guatemala, >50K
27, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,40, Jamaica, <=50K
45, Private, HS-grad, Separated, Craft-repair, Husband, White, Female,0,0,40, China, <=50K
49, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, China, >50K
44, State-gov, Some-college, Separated, Exec-managerial, Unmarried, Black, Female,0,0,30, Yugoslavia, <=50K
32, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,20, United-States, <=50K
57, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
50, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,36, Honduras, <=50K
29, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,40, Mexico, <=50K
31, Private, Bachelors, Married-spouse-absent, Sales, Husband, White, Male,0,0,60, Nicaragua, <=50K
28, State-gov, HS-grad, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,80, Honduras, <=50K
39, Private, Bachelors, Married-civ-spouse, Farming-fishing, Not-in-family, Other, Female,0,0,50, Guatemala, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
42, Local-gov, Assoc-voc, Never-married, Adm-clerical, Wife, White, Male,7687,0,35, United-States, >50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,0,0,60, United-States, <=50K
54, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Italy, >50K
27, Private, Assoc-voc, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
48, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
68, Federal-gov, 5th-6th, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,20, India, <=50K
47, Local-gov, HS-grad, Married-civ-spouse, Other-service, Not-in-family, Other, Female,0,0,24, Puerto-Rico, <=50K
41, Local-gov, HS-grad, Never-married, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
21, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Male,0,0,50, United-States, <=50K
47, Self-emp-not-inc, Doctorate, Married-civ-spouse, Sales, Husband, Black, Male,45859,0,60, Poland, >50K
54, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Yugoslavia, <=50K
37, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,7298,0,35, France, >50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, Haiti, <=50K
50, Private, Assoc-voc, Widowed, Other-service, Unmarried, Black, Female,0,0,40, Thailand, <=50K
40, Private, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
28, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Germany, <=50K
31, Self-emp-inc, 10th, Never-married, Transport-moving, Not-in-family, White, Female,0,0,60, United-States, <=50K
27, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
47, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
33, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,45, United-States, <=50K
27, Private, 11th, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,45, Haiti, <=50K
45, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,15, Columbia, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, Yugoslavia, >50K
56, Private, HS-grad, Separated, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, Laos, <=50K
46, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,1887,35, United-States, <=50K
37, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
65, Private, 7th-8th, Widowed, Machine-op-inspct, Husband, Black, Female,0,0,24, United-States, <=50K
44, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
38, Private, Assoc-acdm, Separated, Adm-clerical, Husband, White, Male,0,0,40, Thailand, <=50K
56, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,4576,0,40, Ireland, >50K
23, Private, Bachelors, Never-married, Sales, Husband, White, Female,0,0,35, Jamaica, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,15, United-States, <=50K
33, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, >50K
24, Private, 11th, Married-civ-spouse, Craft-repair, Own-child, Black, Female,0,0,40, El-Salvador, <=50K
64, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,40, Haiti, <=50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, United-States, <=50K
26, Private, HS-grad, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Male,0,0,45, Germany, <=50K
52, Private, Bachelors, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,60, Japan, >50K
33, Private, Assoc-acdm, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, >50K
25, Private, Assoc-acdm, Never-married, Transport-moving, Own-child, Black, Female,0,0,40, Columbia, <=50K
41, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, Greece, >50K
52, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,45, Portugal, >50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Black, Female,0,1902,40, United-States, >50K
20, Private, Bachelors, Married-civ-spouse, Other-service, Own-child, Black, Male,0,0,20, United-States, <=50K
51, Private, Assoc-voc, Never-married, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, <=50K
41, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
51, Private, Doctorate, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, >50K
22, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,10, Taiwan, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Sales, Own-child, Black, Male,0,0,30, Nicaragua, <=50K
40, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Nicaragua, <=50K
74, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,30, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,1902,40, Hungary, >50K
20, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Self-emp-inc, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
33, Private, HS-grad, Never-married, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Never-married, Transport-moving, Husband, White, Female,0,0,40, Italy, >50K
44, Local-gov, Assoc-acdm, Divorced, Machine-op-inspct, Unmarried, Other, Male,0,0,40, Dominican-Republic, <=50K
25, Local-gov, 5th-6th, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Unmarried, White, Male,0,0,40, United-States, >50K
25, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,30, United-States, <=50K
31, Private, HS-grad, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
23, Self-emp-inc, Some-college, Never-married, Transport-moving, Husband, White, Male,7687,0,60, United-States, >50K
48, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,50, India, <=50K
17, Self-emp-not-inc, 12th, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,15, Poland, <=50K
43, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Unmarried, White, Male,7298,0,50, United-States, >50K
33, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
57, Without-pay, Masters, Widowed, Prof-specialty, Husband, White, Female,0,0,45, Nicaragua, <=50K
23, Private, Bachelors, Married-civ-spouse, Other-service, Not-in-family, Other, Male,0,0,24, Honduras, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, Laos, <=50K
43, Private, Some-college, Divorced, Exec-managerial, Husband, White, Female,0,1902,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Separated, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
64, Private, Doctorate, Widowed, Sales, Husband, Other, Female,0,0,40, United-States, <=50K
46, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, <=50K
48, Private, Masters, Married-civ-spouse, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
81, Private, 7th-8th, Widowed, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,10, United-States, >50K
49, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,82, Cuba, >50K
30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,45, United-States, <=50K
24, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, State-gov, HS-grad, Never-married, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,40, Trinadad&Tobago, <=50K
23, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,35, United-States, <=50K
26, Local-gov, Assoc-acdm, Never-married, Other-service, Wife, White, Male,0,1977,40, United-States, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Hong, >50K
