38, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,32, Dominican-Republic, <=50K
49, Private, HS-grad, Divorced, Sales, Not-in-family, Other, Male,0,0,40, Iran, <=50K
46, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Female,7298,0,40, England, <=50K
37, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, El-Salvador, <=50K
29, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,40, Trinadad&Tobago, >50K
27, Private, 7th-8th, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,45, El-Salvador, <=50K
53, Private, Masters, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Ecuador, >50K
27, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
21, Private, HS-grad, Never-married, Exec-managerial, Own-child, Black, Male,0,0,50, Ecuador, <=50K
34, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,54, Scotland, <=50K
27, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Scotland, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Iran, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,40, Mexico, >50K
28, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, Canada, >50K
40, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,52, Dominican-Republic, <=50K
30, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Philippines, <=50K
45, Self-emp-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,45, Vietnam, >50K
31, Self-emp-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,36, Columbia, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,1602,50, Yugoslavia, >50K
40, Private, Doctorate, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,60, Jamaica, <=50K
50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,45, Yugoslavia, >50K
46, Federal-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
50, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,40, Italy, >50K
24, Private, Some-college, Divorced, Sales, Own-child, White, Female,0,0,40, Trinadad&Tobago, <=50K
42, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,70, China, >50K
28, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,48, El-Salvador, >50K
37, Private, HS-grad, Married-civ-spouse, Prof-specialty, Own-child, Black, Male,0,0,35, Dominican-Republic, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Germany, >50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,8, Canada, <=50K
54, Private, Masters, Widowed, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,35, Canada, >50K
48, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
39, Local-gov, Masters, Never-married, Prof-specialty, Wife, Black, Male,0,0,40, Thailand, >50K
56, Local-gov, Some-college, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Male,0,0,40, Puerto-Rico, >50K
28, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,35, El-Salvador, >50K
50, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
38, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,35, Guatemala, <=50K
46, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Ecuador, <=50K
22, Private, HS-grad, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
55, Self-emp-not-inc, HS-grad, Separated, Priv-house-serv, Not-in-family, White, Female,0,0,30, Mexico, <=50K
44, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, Japan, <=50K
47, Private, Bachelors, Widowed, Other-service, Unmarried, Other, Female,0,0,25, Jamaica, <=50K
23, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,30, France, <=50K
35, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Laos, >50K
23, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,35, Philippines, <=50K
31, Local-gov, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,60, England, <=50K
28, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, Honduras, <=50K
