40, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,32, Nicaragua, <=50K
50, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, >50K
47, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Thailand, <=50K
30, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
28, Private, 12th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, South, >50K
55, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Thailand, >50K
28, Private, Assoc-voc, Divorced, Craft-repair, Wife, White, Male,0,0,40, Yugoslavia, <=50K
21, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
36, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
29, Private, 9th, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
30, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Ecuador, >50K
42, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, Philippines, <=50K
31, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
33, Private, Bachelors, Never-married, Craft-repair, Other-relative, White, Male,0,0,37, Iran, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1671,50, United-States, >50K
41, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Not-in-family, White, Female,2175,0,60, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
47, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Black, Male,0,0,40, Puerto-Rico, <=50K
52, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Divorced, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
44, Private, Bachelors, Divorced, Machine-op-inspct, Husband, White, Male,0,0,70, Jamaica, <=50K
30, Private, Assoc-voc, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,48, United-States, <=50K
39, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Male,0,0,37, Peru, <=50K
47, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,8, France, <=50K
56, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Male,0,0,35, Dominican-Republic, <=50K
50, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Vietnam, <=50K
41, Private, Masters, Never-married, Farming-fishing, Unmarried, White, Male,0,0,40, United-States, <=50K
57, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,40, United-States, <=50K
30, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,35, Thailand, <=50K
52, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,36, United-States, <=50K
48, State-gov, HS-grad, Never-married, Prof-specialty, Unmarried, Black, Male,0,0,50, United-States, <=50K
23, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, Nicaragua, <=50K
57, Self-emp-not-inc, HS-grad, Separated, Prof-specialty, Unmarried, White, Female,0,0,30, United-States, <=50K
46, Local-gov, Assoc-acdm, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
48, Private, Bachelors, Separated, Other-service, Unmarried, White, Female,0,0,25, United-States, <=50K
25, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,30, United-States, >50K
37, Private, Assoc-acdm, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States, >50K
25, Private, Assoc-acdm, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,35, United-States, >50K
33, Local-gov, 9th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
30, Local-gov, Doctorate, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
