40, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,32, Hungary, <=50K
50, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Female,7298,0,40, Mexico, <=50K
39, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Italy, <=50K
31, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
28, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Ireland, <=50K
55, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Ireland, >50K
29, Private, Assoc-voc, Divorced, Craft-repair, Wife, Other, Male,0,0,40, Yugoslavia, <=50K
21, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,50, Hungary, <=50K
36, Local-gov, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
29, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
30, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, Columbia, >50K
42, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Black, Male,0,0,53, Honduras, <=50K
32, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,38, France, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1670,50, Vietnam, >50K
41, Private, Assoc-voc, Divorced, Sales, Not-in-family, Black, Female,2175,0,60, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Vietnam, >50K
47, Federal-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Iran, <=50K
52, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
26, Private, Some-college, Divorced, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,70, Germany, >50K
30, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,48, Nicaragua, <=50K
39, Private, Bachelors, Divorced, Protective-serv, Unmarried, White, Male,0,0,38, Hong, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Taiwan, >50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,8, Columbia, <=50K
56, Private, HS-grad, Separated, Craft-repair, Unmarried, Other, Male,0,0,35, Columbia, <=50K
50, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Yugoslavia, <=50K
41, Private, Masters, Never-married, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
58, Local-gov, Some-college, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
30, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,35, Laos, >50K
52, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Taiwan, <=50K
39, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,36, Puerto-Rico, <=50K
48, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Jamaica, <=50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Unmarried, Other, Female,0,0,40, India, <=50K
57, Self-emp-not-inc, HS-grad, Separated, Prof-specialty, Unmarried, White, Female,0,0,30, United-States, <=50K
46, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
48, Private, HS-grad, Separated, Other-service, Unmarried, White, Female,0,0,25, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,30, Mexico, <=50K
37, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States, >50K
25, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,35, United-States, <=50K
33, Local-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,60, Mexico, <=50K
30, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,30, United-States, <=50K
32, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Guatemala, >50K
24, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Iran, <=50K
41, Self-emp-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
58, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Holand-Netherlands, >50K
31, Private, 10th, Never-married, Sales, Unmarried, White, Female,0,0,33, United-States, <=50K
41, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,50, United-States, >50K
34, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
27, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,38, United-States, <=50K
42, Private, 5th-6th, Divorced, Adm-clerical, Unmarried, White, Female,2583,0,40, India, <=50K
30, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,68, Cuba, <=50K
38, Private, Doctorate, Divorced, Exec-managerial, Husband, White, Female,7687,0,40, Yugoslavia, >50K
27, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
90, Private, HS-grad, Widowed, Protective-serv, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
28, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,99, United-States, <=50K
