39, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,35, Ecuador, <=50K
50, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, Laos, <=50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,7298,0,40, Germany, <=50K
38, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, France, <=50K
30, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
28, Private, 7th-8th, Married-civ-spouse, Protective-serv, Husband, Black, Female,0,0,45, France, >50K
54, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, El-Salvador, >50K
28, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
21, Private, HS-grad, Never-married, Exec-managerial, Own-child, Black, Female,0,0,50, El-Salvador, <=50K
35, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,54, United-States, <=50K
28, Private, 9th, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Laos, <=50K
44, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, Black, Female,0,0,40, Portugal, >50K
29, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,45, Canada, >50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,54, Ecuador, <=50K
31, Private, Some-college, Never-married, Craft-repair, Not-in-family, Other, Female,0,0,40, Thailand, <=50K
46, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,0,45, Vietnam, >50K
32, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,38, Columbia, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1690,50, Yugoslavia, >50K
41, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,2174,0,60, Outlying-US(Guam-USVI-etc), <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,45, Yugoslavia, >50K
47, Federal-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, El-Salvador, <=50K
51, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
25, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
43, Private, Bachelors, Divorced, Priv-house-serv, Husband, White, Male,0,0,71, Columbia, <=50K
29, Private, Assoc-voc, Never-married, Farming-fishing, Not-in-family, Black, Female,0,0,50, France, <=50K
38, Private, Bachelors, Divorced, Prof-specialty, Unmarried, Other, Male,0,0,38, Ecuador, <=50K
46, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Haiti, >50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,8, Canada, <=50K
56, Private, HS-grad, Separated, Exec-managerial, Unmarried, Black, Male,0,0,35, Canada, >50K
49, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
40, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, United-States, >50K
57, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, >50K
29, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,37, France, >50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, Honduras, <=50K
38, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,38, Honduras, <=50K
47, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, England, <=50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,40, Ecuador, <=50K
56, Self-emp-not-inc, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,30, Puerto-Rico, <=50K
45, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,40, Peru, <=50K
47, Private, Bachelors, Separated, Prof-specialty, Unmarried, White, Female,0,0,25, Peru, <=50K
24, Private, Some-college, Married-civ-spouse, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,32, Greece, >50K
36, Private, Assoc-acdm, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, Poland, >50K
24, Private, Assoc-voc, Married-civ-spouse, Other-service, Own-child, Other, Male,0,0,35, Thailand, >50K
32, Local-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,60, Germany, <=50K
29, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Iran, <=50K
31, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Portugal, >50K
17, Private, 10th, Never-married, Prof-specialty, Own-child, Other, Male,0,0,30, Peru, <=50K
31, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, India, >50K
25, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,40, Yugoslavia, <=50K
41, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Dominican-Republic, >50K
23, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, El-Salvador, <=50K
40, Self-emp-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,50, Italy, <=50K
43, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,40, Scotland, >50K
57, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, Ecuador, >50K
31, Private, 10th, Never-married, Sales, Not-in-family, White, Female,0,0,35, Nicaragua, <=50K
40, Private, HS-grad, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,50, Outlying-US(Guam-USVI-etc), >50K
33, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
26, Private, Some-college, Never-married, Exec-managerial, Own-child, Black, Female,0,0,38, United-States, <=50K
42, Private, 7th-8th, Divorced, Adm-clerical, Unmarried, White, Female,3436,0,40, El-Salvador, <=50K
30, Self-emp-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,68, China, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,7687,0,40, Yugoslavia, >50K
26, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, >50K
90, Private, Masters, Married-spouse-absent, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
27, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,99, Trinadad&Tobago, <=50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,71, Hong, >50K
28, Private, Assoc-voc, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
29, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,40, Nicaragua, <=50K
44, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,1887,40, Jamaica, >50K
38, Private, Masters, Divorced, Sales, Not-in-family, White, Male,0,0,40, Greece, <=50K
24, Private, Bachelors, Never-married, Protective-serv, Not-in-family, White, Female,0,0,50, Guatemala, <=50K
31, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,35, Laos, <=50K
48, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,7687,0,40, Peru, >50K
34, Private, 5th-6th, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
46, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,1882,60, Nicaragua, <=50K
43, Private, Doctorate, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, El-Salvador, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,35, United-States, <=50K
64, Self-emp-inc, HS-grad, Separated, Transport-moving, Unmarried, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
40, Private, Bachelors, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,40, Haiti, >50K
43, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private, Assoc-acdm, Never-married, Tech-support, Not-in-family, Asian-Pac-Islander, Female,0,0,40, China, <=50K
40, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Ecuador, >50K
21, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Hungary, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,37, Laos, >50K
