35, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Unmarried, Black, Male,0,0,50, United-States, >50K
59, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, United-States, >50K
41, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
54, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
28, Private, 5th-6th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,30, United-States, <=50K
34, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,7108,0,80, United-States, >50K
32, Self-emp-not-inc, Assoc-voc, Divorced, Exec-managerial, Unmarried, White, Male,0,0,70, United-States, <=50K
60, Private, HS-grad, Widowed, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, 11th, Never-married, Other-service, Husband, White, Female,0,0,24, United-States, <=50K
55, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Black, Female,99999,0,40, United-States, >50K
59, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
45, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,42, Honduras, <=50K
31, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,1887,50, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,99999,0,50, United-States, >50K
18, Private, 11th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,15, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,54, United-States, >50K
69, Self-emp-not-inc, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Male,3124,0,84, United-States, >50K
49, Private, Bachelors, Separated, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
26, Federal-gov, Bachelors, Never-married, Craft-repair, Own-child, White, Male,0,0,20, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
29, Private, Some-college, Divorced, Protective-serv, Not-in-family, White, Male,0,0,45, United-States, <=50K
20, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,25, Poland, <=50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,2249,40, United-States, >50K
19, Private, Assoc-voc, Never-married, Sales, Own-child, White, Male,0,0,35, United-States, <=50K
63, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,14941,0,40, United-States, >50K
37, Private, Bachelors, Separated, Craft-repair, Husband, White, Male,0,0,40, Germany, <=50K
45, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,40, Honduras, <=50K
51, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,1976,60, United-States, <=50K
31, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
25, Private, Some-college, Never-married, Tech-support, Own-child, White, Female,0,0,54, United-States, <=50K
31, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,0,30, United-States, <=50K
24, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
49, Without-pay, HS-grad, Never-married, Prof-specialty, Unmarried, Black, Male,0,0,50, United-States, <=50K
31, Private, Bachelors, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
42, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
47, Federal-gov, Assoc-acdm, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
20, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,32, United-States, <=50K
52, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
36, Private, Assoc-acdm, Never-married, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
47, Private, 9th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
64, Federal-gov, 11th, Married-civ-spouse, Other-service, Unmarried, White, Male,0,0,30, United-States, <=50K
64, Federal-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
49, Federal-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
56, Self-emp-not-inc, 9th, Widowed, Other-service, Unmarried, White, Male,0,0,50, United-States, <=50K
32, Self-emp-not-inc, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,30, United-States, <=50K
26, Private, Masters, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Vietnam, <=50K
48, Local-gov, 7th-8th, Divorced, Exec-managerial, Husband, White, Male,0,0,35, United-States, <=50K
51, Private, Doctorate, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Private, Assoc-voc, Never-married, Other-service, Not-in-family, White, Female,0,0,45, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Other-service, Other-relative, White, Female,0,0,40, United-States, <=50K
26, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
58, Self-emp-not-inc, 10th, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,54, United-States, <=50K
66, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,7298,0,40, United-States, >50K
22, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,20, United-States, <=50K
28, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,38, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Other-relative, White, Male,0,0,30, Mexico, <=50K
25, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
38, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Black, Female,12198,0,50, United-States, >50K
43, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
24, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
20, Private, 5th-6th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
64, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,50, United-States, <=50K
42, Private, Assoc-voc, Divorced, Other-service, Not-in-family, White, Female,0,0,38, United-States, <=50K
30, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, >50K
21, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,25, United-States, <=50K
34, Private, 1st-4th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, Portugal, <=50K
