34, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,50, United-States, >50K
58, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, United-States, >50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
42, Private, HS-grad, Divorced, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
53, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
27, Private, 12th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,30, United-States, <=50K
33, Private, Masters, Married-civ-spouse, Other-service, Husband, White, Male,5178,0,80, United-States, >50K
31, Private, Assoc-voc, Divorced, Exec-managerial, Unmarried, White, Male,0,0,70, United-States, <=50K
59, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, 11th, Never-married, Other-service, Husband, White, Female,0,0,24, United-States, <=50K
54, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Black, Female,99999,0,40, United-States, >50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, United-States, >50K
44, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,43, Greece, <=50K
30, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1902,50, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,99999,0,50, United-States, >50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,54, United-States, >50K
67, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,3389,0,80, United-States, >50K
48, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
26, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,20, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
29, Private, Some-college, Divorced, Protective-serv, Not-in-family, White, Male,0,0,45, United-States, <=50K
20, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Female,0,0,25, Mexico, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,40, United-States, >50K
19, Private, Bachelors, Never-married, Protective-serv, Own-child, White, Male,0,0,35, United-States, <=50K
62, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,14083,0,40, United-States, >50K
37, Private, HS-grad, Widowed, Craft-repair, Husband, White, Female,0,0,40, Germany, <=50K
44, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Guatemala, >50K
51, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,1977,60, United-States, <=50K
30, Private, Prof-school, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
24, Private, Some-college, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,54, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,30, United-States, <=50K
24, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
48, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,50, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
42, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
46, Local-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
20, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,32, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,50, United-States, >50K
35, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
63, Federal-gov, 5th-6th, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,30, United-States, <=50K
64, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
48, Federal-gov, HS-grad, Never-married, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, >50K
55, Self-emp-not-inc, Assoc-voc, Widowed, Prof-specialty, Unmarried, White, Male,0,0,50, United-States, <=50K
31, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,30, United-States, <=50K
26, Private, Masters, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
47, Private, Assoc-acdm, Divorced, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
50, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Private, Assoc-voc, Never-married, Other-service, Not-in-family, White, Female,0,0,45, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
26, State-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
57, Self-emp-not-inc, 10th, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,52, United-States, >50K
65, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,4925,0,40, United-States, >50K
22, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,20, United-States, <=50K
27, Private, 11th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,38, United-States, <=50K
20, Private, Masters, Never-married, Sales, Own-child, White, Male,0,0,30, Japan, <=50K
25, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Yugoslavia, >50K
38, Private, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,8736,0,50, United-States, >50K
42, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
31, Private, Assoc-voc, Never-married, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
24, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
20, Private, 11th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
64, Private, Masters, Divorced, Sales, Husband, White, Male,0,0,50, United-States, <=50K
42, Private, Bachelors, Divorced, Other-service, Husband, White, Female,0,0,37, United-States, <=50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Other-relative, White, Male,0,0,50, United-States, <=50K
21, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,25, United-States, <=50K
33, Private, 11th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, Puerto-Rico, <=50K
35, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,60, United-States, <=50K
51, Private, Bachelors, Divorced, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
27, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
33, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,45, United-States, <=50K
42, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male,6999,0,40, United-States, >50K
42, Local-gov, Assoc-acdm, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Mexico, <=50K
24, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,64057,0,35, United-States, >50K
50, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,45, United-States, >50K
35, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
22, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,16, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Farming-fishing, Wife, Black, Female,0,0,15, Mexico, <=50K
27, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Male,0,0,50, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
34, Local-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
54, State-gov, Masters, Divorced, Craft-repair, Not-in-family, White, Male,0,1902,54, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
36, Private, Doctorate, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,15024,0,40, Peru, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,60, United-States, >50K
28, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Female,0,0,45, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
30, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Male,0,0,84, United-States, >50K
38, Private, HS-grad, Never-married, Tech-support, Husband, White, Female,0,2350,40, United-States, >50K
37, Local-gov, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, >50K
40, Federal-gov, 7th-8th, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,60, United-States, >50K
33, Private, Some-college, Never-married, Sales, Husband, Black, Male,0,0,40, United-States, <=50K
64, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
29, Self-emp-not-inc, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,20, United-States, <=50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,84, United-States, <=50K
22, State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Self-emp-not-inc, Masters, Never-married, Craft-repair, Unmarried, White, Male,0,1974,50, United-States, >50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
39, State-gov, Some-college, Never-married, Prof-specialty, Husband, White, Male,0,0,35, United-States, <=50K
25, Private, Assoc-voc, Divorced, Other-service, Not-in-family, White, Male,0,0,20, United-States, <=50K
51, Private, HS-grad, Married-spouse-absent, Sales, Husband, White, Male,0,0,45, United-States, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,30, United-States, <=50K
37, Private, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, >50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,15, United-States, <=50K
31, Self-emp-not-inc, Masters, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
53, Private, Prof-school, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,54, United-States, <=50K
49, Private, Assoc-acdm, Separated, Farming-fishing, Not-in-family, Black, Female,0,0,40, United-States, <=50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,20, Japan, <=50K
19, Self-emp-not-inc, Masters, Never-married, Other-service, Own-child, White, Male,0,0,16, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,44, United-States, <=50K
41, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, Black, Female,2979,0,40, United-States, >50K
71, Private, Masters, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Local-gov, 12th, Never-married, Other-service, Unmarried, White, Male,0,0,50, United-States, <=50K
