34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,50, Dominican-Republic, >50K
57, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Ireland, >50K
40, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, England, <=50K
40, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,60, El-Salvador, <=50K
53, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
28, Private, 7th-8th, Never-married, Other-service, Own-child, Black, Male,0,0,30, El-Salvador, <=50K
33, Private, Masters, Married-civ-spouse, Other-service, Husband, White, Male,4989,0,77, Ecuador, >50K
31, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,70, Yugoslavia, >50K
59, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,40, Dominican-Republic, <=50K
25, Private, HS-grad, Never-married, Farming-fishing, Own-child, Black, Male,0,0,40, Scotland, <=50K
23, Private, 11th, Never-married, Other-service, Not-in-family, White, Male,0,0,20, Scotland, <=50K
53, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,99999,0,40, Ireland, >50K
57, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Nicaragua, >50K
44, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Canada, <=50K
30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,1887,50, Cuba, >50K
24, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Poland, <=50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, White, Female,99999,0,50, Vietnam, >50K
18, Self-emp-not-inc, 1st-4th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,14, Columbia, <=50K
50, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,7581,0,52, Yugoslavia, >50K
67, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Sales, Husband, Black, Male,0,0,80, Jamaica, >50K
47, Private, Bachelors, Separated, Exec-managerial, Unmarried, White, Female,0,0,40, Yugoslavia, >50K
26, Local-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,20, Ecuador, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Jamaica, <=50K
29, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
20, Private, HS-grad, Divorced, Other-service, Own-child, Black, Female,0,0,24, China, <=50K
29, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,2231,40, El-Salvador, <=50K
19, Private, Bachelors, Never-married, Sales, Own-child, White, Male,0,0,35, Dominican-Republic, <=50K
62, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,12200,0,40, Germany, >50K
37, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Canada, <=50K
44, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Canada, >50K
51, State-gov, Some-college, Never-married, Farming-fishing, Unmarried, White, Female,0,2028,60, Yugoslavia, <=50K
30, Private, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, Trinadad&Tobago, >50K
24, Private, Some-college, Never-married, Tech-support, Own-child, Black, Female,0,0,54, Puerto-Rico, <=50K
30, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Unmarried, White, Female,0,0,30, El-Salvador, <=50K
24, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Guatemala, <=50K
45, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Guatemala, >50K
48, State-gov, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,0,0,50, Ecuador, <=50K
30, Private, HS-grad, Never-married, Farming-fishing, Own-child, Black, Male,0,0,40, Dominican-Republic, <=50K
