35, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, >50K
58, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Ireland, >50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, England, <=50K
42, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,0,0,60, El-Salvador, <=50K
54, Self-emp-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,60, United-States, >50K
28, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, Black, Female,0,0,30, El-Salvador, <=50K
33, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,5178,0,80, Ecuador, >50K
32, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,70, Yugoslavia, >50K
59, Private, HS-grad, Never-married, Craft-repair, Unmarried, Black, Female,0,0,40, Dominican-Republic, <=50K
25, Private, HS-grad, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, Scotland, <=50K
23, Private, 12th, Never-married, Other-service, Not-in-family, White, Female,0,0,25, Scotland, <=50K
53, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,99999,0,40, Italy, >50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Nicaragua, >50K
45, Private, Some-college, Divorced, Other-service, Not-in-family, Other, Female,0,0,45, Cambodia, <=50K
30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,1902,50, Cuba, >50K
24, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Philippines, <=50K
31, Self-emp-not-inc, Bachelors, Divorced, Sales, Other-relative, Black, Female,99999,0,50, United-States, >50K
18, Private, Assoc-voc, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,15, Columbia, <=50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,54, Yugoslavia, >50K
66, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,80, Jamaica, >50K
48, Private, Bachelors, Separated, Craft-repair, Not-in-family, Black, Female,0,0,40, Yugoslavia, <=50K
26, Local-gov, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,20, Ecuador, <=50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,45, Jamaica, <=50K
30, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,45, Trinadad&Tobago, <=50K
20, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,25, China, <=50K
31, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Female,0,2306,40, El-Salvador, <=50K
19, Private, Bachelors, Never-married, Sales, Own-child, Black, Female,0,0,35, Dominican-Republic, <=50K
62, Private, Bachelors, Divorced, Craft-repair, Not-in-family, Black, Female,9863,0,40, France, <=50K
38, Private, HS-grad, Separated, Craft-repair, Husband, Black, Female,0,0,40, Cambodia, <=50K
45, Private, HS-grad, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
53, Self-emp-not-inc, Some-college, Separated, Farming-fishing, Unmarried, Asian-Pac-Islander, Female,0,1994,60, Yugoslavia, <=50K
30, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, Thailand, >50K
24, Private, HS-grad, Never-married, Transport-moving, Own-child, Amer-Indian-Eskimo, Female,0,0,54, Puerto-Rico, <=50K
31, Private, Some-college, Never-married, Protective-serv, Not-in-family, Black, Male,0,0,30, El-Salvador, <=50K
24, Private, Some-college, Never-married, Farming-fishing, Own-child, Asian-Pac-Islander, Female,0,0,40, Guatemala, <=50K
46, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, Guatemala, >50K
49, State-gov, HS-grad, Divorced, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Ecuador, <=50K
31, Private, HS-grad, Never-married, Handlers-cleaners, Wife, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
42, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Nicaragua, >50K
47, Local-gov, Bachelors, Separated, Adm-clerical, Wife, Black, Male,0,0,40, Japan, <=50K
20, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,32, Japan, <=50K
52, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,50, France, <=50K
35, Private, Assoc-voc, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Laos, <=50K
48, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, Philippines, >50K
63, Local-gov, 9th, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Male,0,0,30, England, <=50K
64, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, Hong, >50K
49, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,40, Mexico, >50K
56, Self-emp-not-inc, Bachelors, Widowed, Prof-specialty, Wife, Other, Male,0,0,50, Jamaica, <=50K
31, Self-emp-not-inc, HS-grad, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,30, Honduras, <=50K
26, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Yugoslavia, <=50K
47, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,0,35, Cuba, <=50K
51, Private, Doctorate, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Ecuador, <=50K
34, Self-emp-inc, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,45, India, <=50K
24, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
26, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,41, Cuba, <=50K
57, Self-emp-not-inc, 12th, Married-civ-spouse, Tech-support, Husband, Other, Female,0,0,40, Jamaica, <=50K
27, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,54, Jamaica, <=50K
64, Private, Prof-school, Married-spouse-absent, Transport-moving, Not-in-family, White, Male,4961,0,40, South, >50K
22, Private, Some-college, Never-married, Exec-managerial, Own-child, Black, Female,0,0,20, Thailand, <=50K
27, Private, 11th, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,38, Ecuador, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,30, Canada, <=50K
25, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,40, Yugoslavia, <=50K
38, Private, Masters, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,10083,0,50, Taiwan, >50K
43, Private, Some-college, Never-married, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, Greece, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, Philippines, <=50K
29, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, Portugal, >50K
24, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, Jamaica, <=50K
20, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, India, <=50K
64, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,50, England, <=50K
42, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,38, Germany, <=50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Ireland, >50K
21, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,25, Japan, <=50K
33, Private, 12th, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,35, Columbia, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,60, Jamaica, <=50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,40, Ecuador, <=50K
27, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, South, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,50, Cuba, <=50K
34, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Germany, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, South, >50K
43, Local-gov, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,50, Canada, <=50K
25, Private, Some-college, Never-married, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
45, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,25815,0,38, Haiti, >50K
51, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,45, Iran, <=50K
35, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,40, Trinadad&Tobago, <=50K
28, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, Thailand, <=50K
22, Private, HS-grad, Never-married, Sales, Own-child, Black, Female,0,0,16, Columbia, <=50K
49, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Female,0,0,15, China, <=50K
28, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, Other, Male,0,0,50, Hong, >50K
43, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Taiwan, >50K
35, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,45, Guatemala, >50K
56, State-gov, Masters, Divorced, Exec-managerial, Not-in-family, Other, Male,0,1902,54, Greece, <=50K
40, Private, HS-grad, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,20, Thailand, <=50K
38, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Amer-Indian-Eskimo, Female,15024,0,40, Canada, >50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, El-Salvador, <=50K
28, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, Other, Female,0,0,45, Taiwan, <=50K
44, Private, Doctorate, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,50, South, <=50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, Taiwan, >50K
30, Private, HS-grad, Never-married, Prof-specialty, Husband, Other, Male,0,0,84, Scotland, <=50K
39, Self-emp-inc, Bachelors, Divorced, Sales, Not-in-family, White, Female,0,2536,46, France, >50K
37, Local-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, China, >50K
41, Federal-gov, Assoc-acdm, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,40, Jamaica, <=50K
30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Wife, Other, Male,0,0,60, Taiwan, >50K
34, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Poland, <=50K
64, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Iran, <=50K
29, State-gov, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,20, Thailand, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,84, England, <=50K
22, State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1902,50, Thailand, >50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, Taiwan, <=50K
40, Without-pay, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, Haiti, <=50K
25, Private, Bachelors, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,20, El-Salvador, <=50K
51, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,45, Greece, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,30, Puerto-Rico, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,50, Taiwan, >50K
17, Private, 12th, Never-married, Other-service, Own-child, Other, Male,0,0,15, Outlying-US(Guam-USVI-etc), <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,15, Poland, <=50K
32, Self-emp-not-inc, HS-grad, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,40, Scotland, <=50K
54, Private, Masters, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,54, Peru, <=50K
49, Private, Assoc-voc, Separated, Machine-op-inspct, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, <=50K
61, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,20, China, <=50K
19, Self-emp-not-inc, HS-grad, Never-married, Other-service, Own-child, Black, Male,0,0,16, Portugal, <=50K
38, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,45, Outlying-US(Guam-USVI-etc), <=50K
41, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,2579,0,40, India, <=50K
72, Private, Some-college, Widowed, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
24, Local-gov, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,0,50, Taiwan, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,15, El-Salvador, <=50K
38, State-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,8812,0,50, Haiti, <=50K
39, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,30, Germany, <=50K
54, Local-gov, HS-grad, Divorced, Tech-support, Unmarried, Asian-Pac-Islander, Female,0,0,35, Nicaragua, <=50K
