34, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
58, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, United-States, >50K
40, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
53, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
28, Private, 12th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,30, United-States, <=50K
32, Private, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,7298,0,80, United-States, >50K
31, Self-emp-inc, Assoc-voc, Divorced, Exec-managerial, Unmarried, White, Male,0,0,70, United-States, <=50K
59, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, 11th, Never-married, Other-service, Husband, White, Female,0,0,24, United-States, <=50K
51, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Black, Female,99999,0,40, United-States, >50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, United-States, >50K
44, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,42, Germany, <=50K
31, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,1902,50, United-States, <=50K
24, Private, Some-college, Never-married, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
37, Self-emp-inc, Doctorate, Married-civ-spouse, Sales, Not-in-family, White, Female,99999,0,50, United-States, >50K
18, Private, 11th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,15, Puerto-Rico, <=50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,54, United-States, >50K
67, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,80, United-States, >50K
48, Private, Bachelors, Separated, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
26, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,20, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,45, United-States, <=50K
29, Private, Some-college, Divorced, Protective-serv, Not-in-family, White, Male,0,0,45, United-States, <=50K
20, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Female,0,0,25, Mexico, <=50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,1977,40, United-States, <=50K
19, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,35, United-States, <=50K
61, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,14827,0,40, United-States, >50K
37, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, Germany, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Greece, >50K
50, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,1976,59, United-States, <=50K
30, Private, Prof-school, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
24, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,54, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,0,30, United-States, <=50K
24, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
48, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,50, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
42, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
46, Local-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, >50K
20, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,32, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,50, United-States, >50K
35, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, >50K
63, Federal-gov, 11th, Divorced, Prof-specialty, Unmarried, White, Male,0,0,30, United-States, <=50K
64, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
48, Federal-gov, HS-grad, Widowed, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
55, Self-emp-not-inc, Assoc-acdm, Widowed, Prof-specialty, Unmarried, White, Male,0,0,50, United-States, <=50K
31, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,30, United-States, <=50K
26, Private, Masters, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, Vietnam, <=50K
47, Private, Assoc-acdm, Divorced, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Prof-specialty, Other-relative, White, Female,0,0,40, United-States, <=50K
26, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,42, United-States, >50K
57, Self-emp-not-inc, 10th, Married-civ-spouse, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
