,type,this_epoch,total_epochs,batch_num,loss
1,epoch,1,1250,1,298892.97
3,epoch,2,1250,1,204950.22
5,epoch,3,1250,1,133753.47
7,epoch,4,1250,1,86585.57
9,epoch,5,1250,1,60762.973
11,epoch,6,1250,1,48426.316
13,epoch,7,1250,1,43818.996
15,epoch,8,1250,1,43686.836
17,epoch,9,1250,1,46101.62
19,epoch,10,1250,1,48959.062
21,epoch,11,1250,1,51285.54
23,epoch,12,1250,1,52469.812
25,epoch,13,1250,1,52175.26
27,epoch,14,1250,1,51181.82
29,epoch,15,1250,1,50290.066
31,epoch,16,1250,1,49365.996
33,epoch,17,1250,1,48287.004
35,epoch,18,1250,1,47035.945
37,epoch,19,1250,1,45783.668
39,epoch,20,1250,1,44750.64
41,epoch,21,1250,1,44046.8
43,epoch,22,1250,1,43641.156
45,epoch,23,1250,1,43476.203
47,epoch,24,1250,1,43539.55
49,epoch,25,1250,1,43808.51
51,epoch,26,1250,1,44185.777
53,epoch,27,1250,1,44521.605
55,epoch,28,1250,1,44702.105
57,epoch,29,1250,1,44684.54
59,epoch,30,1250,1,44525.773
61,epoch,31,1250,1,44485.086
63,epoch,32,1250,1,44324.92
65,epoch,33,1250,1,44057.094
67,epoch,34,1250,1,43785.094
69,epoch,35,1250,1,43591.105
71,epoch,36,1250,1,43362.09
73,epoch,37,1250,1,43172.223
75,epoch,38,1250,1,43095.566
77,epoch,39,1250,1,43029.79
79,epoch,40,1250,1,43021.324
81,epoch,41,1250,1,43124.81
83,epoch,42,1250,1,43199.207
85,epoch,43,1250,1,43197.965
87,epoch,44,1250,1,43182.12
89,epoch,45,1250,1,43117.195
91,epoch,46,1250,1,43022.57
93,epoch,47,1250,1,42948.016
95,epoch,48,1250,1,42831.914
97,epoch,49,1250,1,42728.83
99,epoch,50,1250,1,42644.695
101,epoch,51,1250,1,42538.992
103,epoch,52,1250,1,42465.918
105,epoch,53,1250,1,42386.98
107,epoch,54,1250,1,42336.33
109,epoch,55,1250,1,42306.195
111,epoch,56,1250,1,42257.68
113,epoch,57,1250,1,42211.152
115,epoch,58,1250,1,42134.953
117,epoch,59,1250,1,42062.387
119,epoch,60,1250,1,41976.26
121,epoch,61,1250,1,41885.266
123,epoch,62,1250,1,41799.203
125,epoch,63,1250,1,41708.99
127,epoch,64,1250,1,41630.633
129,epoch,65,1250,1,41545.484
131,epoch,66,1250,1,41467.645
133,epoch,67,1250,1,41395.14
135,epoch,68,1250,1,41326.547
137,epoch,69,1250,1,41262.6
139,epoch,70,1250,1,41192.18
141,epoch,71,1250,1,41122.688
143,epoch,72,1250,1,41050.79
145,epoch,73,1250,1,40976.137
147,epoch,74,1250,1,40903.816
149,epoch,75,1250,1,40831.277
151,epoch,76,1250,1,40761.91
153,epoch,77,1250,1,40694.707
155,epoch,78,1250,1,40626.793
157,epoch,79,1250,1,40561.555
159,epoch,80,1250,1,40498.117
161,epoch,81,1250,1,40435.58
163,epoch,82,1250,1,40374.492
165,epoch,83,1250,1,40313.008
167,epoch,84,1250,1,40252.016
169,epoch,85,1250,1,40191.65
171,epoch,86,1250,1,40130.863
173,epoch,87,1250,1,40071.41
175,epoch,88,1250,1,40013.363
177,epoch,89,1250,1,39956.312
179,epoch,90,1250,1,39900.72
181,epoch,91,1250,1,39845.77
183,epoch,92,1250,1,39791.918
185,epoch,93,1250,1,39739.29
187,epoch,94,1250,1,39687.203
189,epoch,95,1250,1,39636.254
191,epoch,96,1250,1,39586.195
193,epoch,97,1250,1,39536.96
195,epoch,98,1250,1,39488.7
197,epoch,99,1250,1,39441.113
199,epoch,100,1250,1,39394.758
201,epoch,101,1250,1,39349.445
203,epoch,102,1250,1,39305.11
205,epoch,103,1250,1,39261.777
207,epoch,104,1250,1,39219.21
