33, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,50, Honduras, >50K
56, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
38, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
39, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,60, Laos, <=50K
51, Self-emp-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
27, Private, 9th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,30, Jamaica, <=50K
31, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,4095,0,80, Italy, >50K
30, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,70, Yugoslavia, >50K
57, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,40, Iran, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
22, Private, 11th, Never-married, Other-service, Not-in-family, White, Male,0,0,24, United-States, <=50K
52, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,99999,0,40, United-States, >50K
56, Self-emp-not-inc, Doctorate, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
42, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,42, Columbia, <=50K
29, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Black, Male,0,1893,50, Honduras, <=50K
23, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
30, Private, Doctorate, Married-civ-spouse, Sales, Not-in-family, White, Female,99999,0,50, United-States, >50K
18, Private, Assoc-voc, Never-married, Other-service, Own-child, White, Male,0,0,15, France, <=50K
48, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,54, Vietnam, >50K
66, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,82, United-States, >50K
46, Private, Bachelors, Widowed, Exec-managerial, Not-in-family, Other, Female,0,0,40, Yugoslavia, >50K
25, Federal-gov, HS-grad, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,20, Italy, <=50K
31, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
28, Private, Some-college, Divorced, Protective-serv, Own-child, White, Male,0,0,45, United-States, <=50K
20, Private, HS-grad, Divorced, Farming-fishing, Own-child, White, Female,0,0,25, England, <=50K
27, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,2001,40, Philippines, <=50K
19, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,35, Iran, <=50K
61, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,14234,0,40, Portugal, >50K
36, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, China, <=50K
42, Private, Masters, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,40, Columbia, >50K
51, State-gov, Some-college, Never-married, Exec-managerial, Wife, Other, Male,0,1976,60, Yugoslavia, <=50K
29, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
23, Private, Some-college, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Female,0,0,54, United-States, <=50K
30, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,30, Ireland, <=50K
23, Private, Some-college, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, South, <=50K
43, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Taiwan, >50K
46, State-gov, HS-grad, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,50, Jamaica, <=50K
30, Private, HS-grad, Never-married, Farming-fishing, Wife, White, Female,0,0,40, Hong, <=50K
40, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
44, Local-gov, Assoc-voc, Never-married, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
20, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,32, United-States, <=50K
49, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, Portugal, <=50K
34, Private, Assoc-voc, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
60, Federal-gov, 7th-8th, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,30, Mexico, <=50K
61, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
46, Federal-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
53, Self-emp-not-inc, Bachelors, Separated, Other-service, Unmarried, White, Male,0,0,50, United-States, <=50K
30, Self-emp-not-inc, HS-grad, Never-married, Sales, Own-child, Other, Female,0,0,30, United-States, <=50K
25, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, Yugoslavia, <=50K
45, Local-gov, Assoc-voc, Divorced, Handlers-cleaners, Own-child, White, Male,0,0,35, Germany, >50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Ireland, <=50K
32, Self-emp-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
23, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
25, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Honduras, <=50K
54, Self-emp-not-inc, 1st-4th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,51, United-States, <=50K
62, Private, Masters, Divorced, Sales, Not-in-family, White, Male,4386,0,40, United-States, >50K
21, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,20, United-States, <=50K
26, Private, 11th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,38, Ireland, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Other, Male,0,0,30, Cuba, <=50K
24, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
37, Private, Masters, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,7687,0,50, United-States, >50K
41, Private, Masters, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, South, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
28, Private, Masters, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,60, United-States, >50K
23, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
20, Private, 9th, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
62, Private, Masters, Divorced, Sales, Not-in-family, White, Male,0,0,50, Puerto-Rico, <=50K
40, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,38, Philippines, <=50K
28, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, United-States, >50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,25, United-States, <=50K
32, Private, 9th, Divorced, Exec-managerial, Unmarried, Other, Female,0,0,35, Greece, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Black, Male,0,0,60, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,40, Iran, <=50K
26, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,40, United-States, <=50K
41, Self-emp-not-inc, Masters, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,50, Honduras, <=50K
32, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Scotland, <=50K
40, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,6472,0,40, United-States, >50K
40, Local-gov, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,50, Dominican-Republic, <=50K
23, Private, Some-college, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, Honduras, <=50K
44, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,24306,0,35, United-States, >50K
48, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,45, United-States, <=50K
34, Self-emp-inc, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States, <=50K
26, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
21, Private, Masters, Never-married, Sales, Own-child, White, Male,0,0,16, Germany, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,15, Ecuador, <=50K
26, Private, Some-college, Married-civ-spouse, Farming-fishing, Wife, White, Male,0,0,50, United-States, >50K
