34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,50, Greece, >50K
58, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
41, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, India, <=50K
41, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,60, Hong, <=50K
54, Self-emp-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
28, Private, Assoc-acdm, Never-married, Other-service, Own-child, Other, Female,0,0,30, Honduras, <=50K
32, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,4064,0,80, Haiti, >50K
31, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, Black, Male,0,0,70, Yugoslavia, <=50K
60, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,40, Haiti, <=50K
25, Local-gov, HS-grad, Never-married, Craft-repair, Own-child, Other, Male,0,0,40, United-States, <=50K
23, Private, 1st-4th, Never-married, Other-service, Husband, White, Male,0,0,24, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,99999,0,40, United-States, >50K
59, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,0,40, United-States, >50K
45, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,43, China, <=50K
31, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,1902,50, Germany, >50K
24, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,99999,0,50, United-States, >50K
18, Private, 12th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, Ecuador, <=50K
50, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,7304,0,54, Vietnam, >50K
68, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,80, United-States, >50K
49, Private, Bachelors, Widowed, Craft-repair, Not-in-family, Other, Male,0,0,40, Yugoslavia, <=50K
26, Federal-gov, Bachelors, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,20, Honduras, <=50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
29, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Male,0,0,45, United-States, <=50K
20, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Female,0,0,25, Dominican-Republic, <=50K
30, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,2292,40, Hungary, <=50K
19, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,35, Greece, <=50K
63, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,10599,0,40, Jamaica, >50K
37, Private, HS-grad, Separated, Craft-repair, Husband, White, Male,0,0,40, China, <=50K
45, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,40, China, <=50K
51, Self-emp-not-inc, Some-college, Never-married, Farming-fishing, Wife, Black, Female,0,2001,60, Yugoslavia, <=50K
30, Private, Prof-school, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, >50K
24, Private, Some-college, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Female,0,0,54, United-States, <=50K
31, Private, Some-college, Never-married, Sales, Own-child, Other, Male,0,0,30, Honduras, <=50K
24, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, Other, Female,0,0,40, Mexico, <=50K
46, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
49, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Hong, <=50K
31, Private, HS-grad, Never-married, Handlers-cleaners, Wife, Black, Female,0,0,40, Germany, <=50K
42, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
47, Local-gov, Bachelors, Separated, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
20, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,32, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,50, Ireland, <=50K
36, Private, Assoc-voc, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
64, Federal-gov, 9th, Married-civ-spouse, Prof-specialty, Wife, Black, Male,0,0,30, Iran, <=50K
64, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, South, >50K
49, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
55, Self-emp-not-inc, Assoc-voc, Widowed, Machine-op-inspct, Wife, White, Male,0,0,50, United-States, <=50K
32, Self-emp-not-inc, HS-grad, Divorced, Prof-specialty, Own-child, Black, Male,0,0,30, Poland, <=50K
26, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,40, Yugoslavia, <=50K
48, Local-gov, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,35, England, >50K
51, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Honduras, <=50K
34, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
24, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Self-emp-not-inc, Masters, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,43, Germany, <=50K
57, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,54, United-States, <=50K
64, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, White, Male,3817,0,40, United-States, >50K
22, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,20, United-States, <=50K
28, Private, 7th-8th, Divorced, Adm-clerical, Own-child, White, Female,0,0,38, Haiti, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,30, Columbia, <=50K
25, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
38, Private, Masters, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,8227,0,50, United-States, >50K
43, Private, Masters, Never-married, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, Nicaragua, <=50K
19, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
30, Private, Masters, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, Portugal, <=50K
31, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, Other, Female,0,0,60, United-States, >50K
24, Federal-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
20, Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, South, <=50K
64, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,50, Jamaica, <=50K
43, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,38, Ireland, <=50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, United-States, >50K
21, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,25, United-States, <=50K
34, Local-gov, 9th, Divorced, Craft-repair, Unmarried, Black, Female,0,0,35, El-Salvador, <=50K
35, Private, HS-grad, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,60, United-States, <=50K
52, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,40, Guatemala, <=50K
28, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, Black, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Masters, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,50, Germany, <=50K
34, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Laos, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, United-States, >50K
43, Local-gov, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,50, Cuba, <=50K
24, Private, Some-college, Never-married, Exec-managerial, Wife, Black, Female,0,0,40, Germany, <=50K
45, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,58768,0,36, Peru, >50K
50, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,45, United-States, <=50K
35, Self-emp-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, United-States, <=50K
27, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
22, Private, Masters, Never-married, Sales, Own-child, White, Female,0,0,16, El-Salvador, <=50K
50, Private, HS-grad, Married-civ-spouse, Farming-fishing, Wife, Amer-Indian-Eskimo, Male,0,0,15, Cuba, <=50K
27, Private, Some-college, Married-civ-spouse, Farming-fishing, Wife, White, Male,0,0,50, Puerto-Rico, >50K
42, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, United-States, >50K
34, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, Black, Male,0,0,45, Nicaragua, >50K
55, State-gov, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,1787,54, Outlying-US(Guam-USVI-etc), <=50K
41, Private, Masters, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,15024,0,40, Cuba, >50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, India, >50K
28, Private, HS-grad, Married-civ-spouse, Farming-fishing, Wife, White, Female,0,0,45, United-States, <=50K
44, Private, Doctorate, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
30, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Female,0,0,84, United-States, <=50K
38, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,3576,50, Laos, <=50K
37, Local-gov, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Dominican-Republic, >50K
41, Federal-gov, Assoc-voc, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Wife, White, Male,0,0,60, United-States, >50K
34, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
